Abatement,"ଛାଡ଼,ହ୍ରାସ,ଉପଶମନ"
Subordinate services,"ଅଧସ୍ତନ ସେବା, ଅଧୀନସ୍ଥ ସେବା"
Subordinate staff,ଅଧସ୍ତନ କର୍ମଚାରୀ ବର୍ଗ
Subparagraph,"ଉପ-ଅନୁଚ୍ଛେଦ, ଉପ-ପାରା"
Subrule,ଉପ-ନିୟମ
Subscribe,ପ୍ରତିସ୍ଥାପନ କରିବା
Subscribed capital,ଅଭିଦତ୍ତ ପୁଂଜି
Subscriber,"ଚାନ୍ଦାଦାତା, ଗ୍ରାହକ, ସ୍ୱାକ୍ଷରକାରୀ"
Subscription,"ଚାନ୍ଦା, ସ୍ୱାକ୍ଷରକରଣ, ଗ୍ରାହକ ଦେୟ (ପ୍ରତ୍ରପତ୍ରିକାର)"
Subsection,"ଉପଧାରୀ, ଉପଭାଗ"
Subsequent,"ପରବର୍ତ୍ତୀ, ଅନୁବର୍ତ୍ତୀ"
Subsequent action,ଉତ୍ତରବର୍ତ୍ତୀ କାର୍ଯ୍ୟ
Subsequently,"ପରବର୍ତ୍ତୀ କାଳରେ, ତତ୍ପଶ୍ଚାତ୍, ଉତ୍ତର କାଳରେ"
Subsidiary,"ଗୌଣ, ସହାୟକ, ସଂପୂରକ"
Subsidiary bodies,"ସହାୟକ, ସଂସ୍ଥାଗୁଡ଼ିକ"
Subsidiary industry,ସହାୟକ ଶିଳ୍ପ
Subsidiary mandate,ସହାୟକ ଅଧିବେଶ
Subsidiary receipt,"ଗୌଣ ରସିଦ, ଗୌଣପ୍ରାପ୍ତି"
Subsidiary register,ଗୌଣ ରେଜିଷ୍ଟର
Subsidise,ଆର୍ଥିକ ସାହାଯ୍ୟ ଦେବା
Subsidised,ଆର୍ଥିକ ସାହାଯ୍ୟ ପ୍ରାପ୍ତ
Subsidized accommodation,ଆର୍ଥିକ ସାହାଯ୍ୟ ପ୍ରାପ୍ତ ଆବସ
Subsidy,"ଆର୍ଥିକ ସାହାଯ୍ୟ, ସହାୟିକୀ"
Subsistence,"ଜୀବନ ନିର୍ବାହ, ସତ୍ତା"
Subsistence allowance,ଜୀବନ ନିର୍ବାହ ଭର୍ତ୍ତା
Subsistence grant,ନିର୍ବାହ ଅନୁଦାନ
Substandard,"ନିକୃଷ୍ଟ, ନ୍ୟନ"
Substantial,"ବାସ୍ତବ, ପ୍ରକୃତ, ପର୍ଯ୍ୟାପ୍ତ, ପ୍ରଚୁର, ନିଦା, ସାରବାନ୍"
Substantiate,"ପ୍ରତିପାଦନ କରିବା, ପ୍ରତିପନନ କିରିବା, ପ୍ରତିପନ୍ନ କରିବା"
Substantive,"ଅଧିଷ୍ଟାୟୀ, ମୌଳିକ, ମୂଳ"
Substantive pay,ମୂଳପଦ ବେତନ
Substantive post,ମୂଳପଦ
Substitute,"ପ୍ରତିସ୍ଥାନିକ, ବଦଳ, ପ୍ରତିକଳ୍ପ"
Substitution,"ପ୍ରତିସ୍ଥାପନ, ବିକଳ୍ପ"
Sub sub-paragraph,ଉପଉପ-ପାରା
Suburban,ଉପନଗରୀୟ
Subvention,"କରକାରୀ ସହାୟତା, ଆର୍ଥିକ ସହାୟତା"
Subversion,"ବିଧ୍ୱଂସ, ଧ୍ୱଂସ"
Subway,"ସୁଡଙ୍ଗ ମାର୍ଗ, ଗୁପ୍ତପଥ"
Succeeding,"ଉତ୍ତରବର୍ତ୍ତୀ, ଉତ୍ତରାଧିକାର ପ୍ରାପ୍ତ"
Succession,"ଉତ୍ତରାଧିକାର, ପର୍ଯ୍ୟାୟ"
Successive,ଆନୁକ୍ରମିକ
Successor,ଉତ୍ତରାଧିକାରୀ
Succour,ସଙ୍କଟକାଳୀନ ସାହାଯ୍ୟ
Sue,"ନାଲିସ୍ କରିବା, ମକଦ୍ଦମା କରିବା, ପ୍ରଣୟ ଭିକ୍ଷା କରିବା"
Suffer,"ସହିବା, ଭୋଗିବା, କ୍ଷତିଗ୍ରସ୍ତ ହେବା"
Suffering,"ଦଃଖଭୋଗ, ବେଦନା, ବେଦନାର୍ତ୍ତ, ଯନ୍ତ୍ରଣାର୍ତ୍ତ, ଦୁଃଖପ୍ରାପ୍ତ"
Sufficient,"ପର୍ଯ୍ୟାପ୍ତ, ଯଥେଷ୍ଟ"
Suffix,"ପାଶ୍ଚାତ୍ ଯୋଗ, ପ୍ରତ୍ୟୟ, ପଚ୍ଛେ ଯୋଡିବା"
Suffrage,"ମତାଧିକାର, କ୍ଷୁଦ୍ର ଯାଚିକା"
Suggestion,"ସୂଚନା, ପ୍ରସ୍ତାବ"
Suggestion box,"ସୂଚନାତ୍ମକ, ସଙ୍କେତପୂର୍ଣ୍ଣ"
Suggestions book,ପ୍ରସ୍ତାବ ପୁସ୍ତିକା
Suggestive,"ସୂଚନାତ୍ମକ, ସଙ୍କେତପୂର୍ଣ୍ଣ"
Suicide,"ଆତ୍ମହତ୍ୟା, ଆତ୍ମଘାତୀ କାର୍ଯ୍ୟ"
Suit,"ମକଦ୍ମା, ପ୍ରଣୟାକାଂକ୍ଷା, ପ୍ରମୟ ନିବେଦନ, ସୁଟ୍, ଉପଯୁକ୍ତ ଦେବା, ମାନିବା"
Suitability,"ଉପଯୁକ୍ତତା, ସମୀଚୀନତା, ଯୋଗ୍ୟତା"
Suitable action,ଉପଯୁକ୍ତ ପଦକ୍ଷେପ
Suited,ଉପଯୁକ୍ତ
Sum,"ରାଶି, ଧନରାଶି, ଯୋଗଫଳ, ଅଙ୍କ, ସାରକଥା"
Summarily,ସଂକ୍ଷେପରେ
Summary,"ସାରାଂଶ, ସଂକ୍ଷିପ୍ତସାର, ସରାସରି ସଂକ୍ଷିପ୍ତ"
Summary trial,ସଂକ୍ଷିପ୍ତ ବିଚାରଣ
Summing up,ଉପସଂହାର
Summit,"ଶୀର୍ଷ, ଶିଖର"
Summon,"ସମନ କରିବା, ଡାକିବା"
Sumptuary allowance,ସତ୍କାର ଭତ୍ତା
Sum up,"ସଂକ୍ଷେପରେ, ସାରାଂଶରେ"
Sundry,"ନାନାପ୍ରକାର, ବିବିଧ"
Suo moto,"ସ୍ୱେଚ୍ଛାରେ, ଆପଣା ଛାଏଁ"
Superannuation,"ଅବସର, ସେବାନିବୃତ୍ତି"
Superannuation pension,ଅବସରପ୍ରାପ୍ତ / ସେବାନିବୃତ୍ତି ସେନ୍ସନ୍
Superficial,"ଉପରଠାଉରିଆ, ଅଗଭୀର"
Superfluous,ଅତିମାନବୀୟ
Superimpose,ଆରୋପିତ କରିବା
Superior,"ଉତ୍କୃର୍ଷ, ବରିଷ୍ଠ, ଉଚ୍ଚତର, ଉପରିସ୍ଥ, ଉପରିକ, ଗୁରୁଜନ"
Superiority,ଉତ୍କୃର୍ଷ୍ଟ ବରିଷ୍ଠତା
Supernumerary,"ପ୍ରୟୋଜନାତିରିକ୍ତ, ଅଧିସଂଖ୍ୟକ ପଦ"
Supernumerary post,ଅଧିସଂଖ୍ୟକ ପଦ
Superscribe,ଉପରେ ଲେଖିବା
Superscription,"ଉପରିଲେଖ, ଉପରିଲେଖନ, ଠିକଣା"
Supersede,"ଅଧିକ୍ରଣଣ କରିବା, ଅନ୍ୟର ସ୍ଥା ଅକ୍ତିଆର କରିବା, ରଦ୍ଦ କରିବା"
Supersession,"ଅଧିକ୍ରମଣ, ଅନ୍ୟର ସ୍ଥାନ"
Superstructure,ଅଧିସଂରଚନା
Supertax,"ଅଧି କର, ଅତିରିକ୍ତ କର"
Super timescale,ଅଧି-ସମୟ ମାନ / ହାର
Supervision,ପର୍ଯ୍ୟବେକ୍ଷକ
Supervisor,ପର୍ଯ୍ୟବେକ୍ଷକ
Supervisory staff,ପର୍ଯ୍ୟବେକ୍ଷଣକାରୀ କର୍ମଚାରୀ ବର୍ଗ
Supplement,"ଅନୁପୂରଣ କରିବା, ଅନୁପୂରକ"
Supplementary,"ଅନୁପୂରକ, ପରିପୂରକ"
Supplementary budget,ଅନୁପୂରକ ବଜେଟ
Supplementary cost,ଅନୁପୂରକ ଦାମ/ପରିବ୍ୟୟ
Supplementary demand,ଅନୁପୂରକ ଦାବୀ/ଟାହିଦା
Supplementary grant,ଅନୁପୂରକ ଅନୁଦାନ
Supplementary question,ଅନୁପୂରକ ପ୍ରଶନ
Supplementary rules,ଅନୁପୂରକ ନିୟମାବଳୀ
Supplier,"ଯୋଗାଣିଆ, ପ୍ରଦାୟକ"
Supply,"ଯୋଗାମ, ଯୋଗାଇବା"
Support,"ଅବଲମ୍ବନ, ଢିରା, ସମର୍ଥନ"
Supporter,ସମର୍ଥକ
Supporting documents,ସମର୍ଥ ଦଲିଲ
Suppress,"ଦାବି ଦେବା, ଦମନ କରିବା, ଗୋପନ ରଖିବା, ଦବେଇ ରଖିବା"
Supremacy,"ପରମାଧିପତ୍ୟ, ସର୍ବୋଚ୍ଚତା"
Supreme,"ପରମ, ସର୍ବୋଚ୍ଚତା"
Surcharge,"ଅଧିଭାର, ଅତିରିକ୍ତ କର, ସରଚାର୍ଜ, ଅଧିଭାରିତ କରିବା"
Surety,"ପ୍ରତିଭୂ, ନିଶ୍ଚିତାତ, ଜାମିନ"
Surety bond,ଜମାନତ ବନ୍ଧପତ୍ର
Surface inspection,ଉପରିଭାଗ ନିରୀକ୍ଷଣ
Surface transport,ଭୂତଳ ପରିବହନ
Surgery,"ଶଲ୍ୟ ଚିକିତ୍ସତ, ସର୍ଜନ"
Surname,"ସାଙ୍ଘିଆ, କୁଳନାମ"
Surplus,"ଉଦ୍ବୃତ୍ତ, ବଳକା, ଉଦ୍ବୃତ୍ତାଂଶ"
Surplus budget,ବଳକା ବଜେଟ
Surplus report,"ବଳକା ରିପୋର୍ଟ, ଅଧିବେଶ ରିପୋର୍ଟ"
Surplus staff,ବଳକା କର୍ମଚାରୀ ବର୍ଗ
Surprise check,ଆକସ୍ମିକ ଯାଞ୍ଚ
Surprise visit,ଆକସ୍ମିକ ନିରୀକ୍ଷଣ
Surrender,"ଆତ୍ମସମର୍ପଣ କରିବା, ସମର୍ପଣ କରିବା, ପରାଜୟ ସ୍ୱୀକାରର କରିବା, ଆତ୍ମ ସମର୍ପଣ, ସମର୍ପଣ, ଅଭ୍ୟର୍ପଣ"
Surroundings,"ପରିପାର୍ଶ୍ୱ, ପରିବେଷ୍ଟନୀ"
Surtax,"ଉପରି କର, ଅତିରିକ୍ତ କର"
Surveillance,"ନିଘା, ସଂନିରୀକ୍ଷମ, କଡ଼ା ନଜର"
Survey,"ଜରିବ କରିବା, ସର୍ବୋକ୍ଷଣ କରିବା, ବନ୍ଦୋବସ୍ତ, ସର୍ଭେ, ସର୍ବେକ୍ଷଣ"
Survey report,"ସର୍ବୋକ୍ଷଣ ରିପୋର୍ଟ, ବନ୍ଦୋବସ୍ତ ରିପୋର୍ଟ, ସର୍ଭେ ରିପୋର୍ଟ"
Survival,"ଦେବାବଶେଷ, ତିଷ୍ଠି ରହିଥିବା, ଜୀବନ, ଉତ୍ତରଜୀବୀତା"
Surviving,"ଉତ୍ତର ଜୀବୀ, ଅବଶିଷ୍ଟ"
Survivor,ଉତ୍ତରଜୀବୀ
Susceptibility,"ଗ୍ରହଣଶୀଳତା, ପ୍ରବଣତା"
Suspect,"ସନ୍ଦେହ କରିବା, ସନ୍ଦେହ ପାତ୍ର, ସନ୍ଦିବ୍ଧ ବ୍ୟକ୍ତି, ସନ୍ଦେହଯୋଗ୍ୟ"
Suspend,"ନିଲମ୍ବନ କରିବା, ଝୁଲାଇବା, ସ୍ଥଗିତ ରଖିବା, ଅସ୍ଥାୟୀ ବରଖାସ୍ତ କରିବା"
Suspense,"ଅନିଶ୍ଚିତତା, ଉତ୍କଣ୍ଠା, ଅସମଂଜସ"
Suspense account,ଅସମଂଜସ ହିସାବ
Suspension,"ନିଲମ୍ବନ, ସାମୟିକ ବରଖାସ୍ତ"
Suspension order,ନିଲମ୍ବନ ଆଦେଶ
Suspicion,"ସନ୍ଦେହଜନକ, ସନ୍ଦେହୀ"
Sustainable,"ପୋଷଣୀୟ, ସହନୀୟ"
Sustainable growth,ପୋଷଣୀୟ ବୃଦ୍ଧି
Sustained,"ଅବିରତ, ଅବିରାମ"
Swear,"ଶପଥ ନେବା, ଶପଥ ଗ୍ରହଣ କରିବା"
Swearing-in-ceremony,ଶପଥ ଗ୍ରହଣ କରିବା
Syllabus,"ପାଠ୍ୟସୂଚୀ, ସିଲାବସ୍"
Symbol,"ପ୍ରତୀକ୍, ସଙ୍କେତ"
Symmetry,"ପ୍ରତିସାମ୍ୟ, ସୁନିନ୍ୟସ୍ତ, ସମରୂପତା, ଯଥାନୁପାତ"
Sympathy,"ସହାନୁଭୂତି, ସମବେଦନା, ଦରଦ"
Sympathy strike,ସହାନୁଭୂତି ହଡତାଳ
Symposium,"ଆଲୋଚନା ଚକ୍ର, ସଂପାନ"
Symptom,"ଲକ୍ଷଣ, ଚିହ୍ନ, ସଂକେତ"
Synchronise,ଏକକାଳିନ ଧ୍ୱନି
Synopsis,"ସାର ସଂକ୍ଷେପ, ବିଷୟ ସଂକ୍ଷେପ"
Synthesis,"ସଂଶ୍ଳେଶଣ, କୃତ୍ରିମ ବସ୍ତୁ ପ୍ରସ୍ତୁତି"
Synthetic,"ସଂଶ୍ଳେଷିକ, କୃତ୍ରିମ"
System,"ପଦ୍ଧତି, ପ୍ରଣାଳୀ, ତନ୍ତ୍ର, ନିକାୟ, ବିଧି, ରୀତି, ସାମାଜିକ ବ୍ୟବସ୍ଥା"
Systematic,"ପଦ୍ଧତିଗତ, ପ୍ରଣାଳୀବଦ୍ଧ, ବ୍ୟବସ୍ଥିତ"
Systematic work,"ପ୍ରଣାଳୀବଦ୍ଧ କାର୍ଯ୍ୟ, ବ୍ୟବସ୍ଥିତ କାର୍ଯ୍ୟ"
Systems analysis,"ତନ୍ତବିଶ୍ଲେଷଣ, ପ୍ରଣାଳୀ ବିଶ୍ଳେଷଣ"
Tab folder,ଟେବ ଫୋଲଡର
Table,"ମେଜ, ବେବୁଲ, ସାରଣୀ, ତାଲିକା, ମେଜ ଉପରେ ରଖିବା, ଉପସ୍ଥାପନ କରିବା, ଆଗତ କରିବା"
Tableau,ପ୍ରଜ୍ଞାପନ ମେଢ଼
Table of contents,ବିଷୟ ସାରଣୀ
Table of the house,"ସଦନ ପଟ୍ଟଳ, ଗୃହ ପଟ୍ଟଳ"
Tabular,"ସାରଣୀବଦ୍ଧ, ତାଲିକାବଦ୍ଧ"
Tabulated statement,ସାରଣୀଭୁକ୍ତ ବିବରଣ
Tabulation,ସାରଣୀକରଣ
Tabulator,"ସାରଣୀକାର, ସାରଣୀ-ଲିପିକ"
Tackle,"କୌଶଳରେ ସମାଧାନ କରରିବା, ମୁକାବିଲା କରିବା, ଅକ୍ତିଆରରେ ରଖିବା"
Tact,"ଚତୁରତା, ବ୍ୟବହାର କୌଶଳ"
Tactful,"ସୁଚତୁର, ବ୍ୟବହାର-କୁଶଳ, କୌଶଳ"
Tactic,"ରଣଚାତୁରୀ, ଚାତୁର୍ଯ୍ୟ, କୌଶଳ"
Tag,"ଟ୍ୟାଗ୍, ଟ୍ୟାଗ୍ କରିବା, ନଥି କରିବା"
Take home pay,ହାତ- ଦରମା
Take over,"କାର୍ଯ୍ୟଭାର ନେବା, ଦାୟିତ୍ୱବହନ କରିବା"
Talented,"ପ୍ରତିଭାଶାଳୀ, ସୁଦକ୍ଷ, କର୍ମଦକ୍ଷ"
Talent search,ପ୍ରତିଭା ଅନ୍ୱେଷଣ
Tally,"ମେଳ କରିବା, ମେଳ ଖାଇବା, ମେଳ"
Tally card,ମେଳ କାର୍ଡ
Tampering,"ବଦଳାବଦଳି, ହେରଫେର"
Tangible,"ମୂର୍ତ୍ତ, ମୂର୍ତ୍ତମାନ, ସ୍ପର୍ଶନୀୟ"
Tangible asset,ସ୍ପର୍ଶନୀୟ ପୁଜ୍ଞି
Tape,"ମାପ ଫିତା, କେସେଟ୍ ଫିତା, ଅଠାଦିଆ ଫିତା, ଫିତା, ଫିତା ବାନ୍ଧିବା, ଫିତେରେ ରେକର୍ଡ କିବା, ମାପିବା, ଯୋଡ଼ିବା"
Tapping,"ଉପଯୋଗ କରିବା, ରେକର୍ଡ କରିବା"
Tardiness,"ଧୀରତା, ମଂଦତା"
Target,"ଲକ୍ଷ୍ୟ, ଚାନ୍ଦମାରି, ଲକ୍ଷ୍ୟଭେଦପଟା"
Target date,ଲକ୍ଷ୍ୟ ତାରିଖ
Tariff,"ଟାରିଫ, ସୀମା ପ୍ରଶୁଳ୍କ, ଶୁଳ୍କସୂଚୀ"
Tarnish,"ମଳିନ କିବା, ସମ୍ମାନ ନଷ୍ଟ କରିବା"
Task,"କାର୍ଯ୍ୟ, କାର୍ଯ୍ୟଭାର, ଖଟାଇବା"
Task force,ବିଶେଷ କାର୍ଯ୍ୟରତ ସେନା
Tax,"କର, କର ବସାଇବା/ଧାର୍ଯ୍ୟ କିରିବା, ଭାର ଲଦିବା, ପୀଡ଼ା ଦେବା"
Tax abatement,କରକମ ହେବା
Taxable,କରଯୋଗ୍ୟ
Taxable income,କରଯୋଗ୍ୟ ଆୟ
Tax adjustment,"କର ସମନ୍ୱୟ, କରସମାୟୋଜନ"
Tax assessment,କରନିର୍ଦ୍ଧାରଣ
Taxation,"କରଧାର୍ଯ୍ୟ, କର ଆରୋପଣ"
Tax avoidance (tax loophole),"କର ଏଡ଼ିବା, କର ପରିହାର"
Tax consultant,କର ପରାମର୍ଶଦାତା
Tax declaration,କର ଘୋଷଣା
Tax deducted at source,ଆୟ ସ୍ରୋତରୁ କଟାଯାଇଥିବା କର
Tax deduction,କର କାଟ
Tax evasion,"କର କଞ୍ଚନ, କର-ଫାଙ୍କି"
Tax exemption,"କର ଛୁଟ, କର ଛାଡ"
Tax free,କର ମୁକ୍ତ
Tax payer,କରଦାତା
Tax rebate,କର ରିହାତି
Tax return,କର ବିବରଣୀ
Tax schedule,କର ତାଲିକା
Team spirit,"ଦଳ ଗତ ଭାବନା, ସାମୂହିକ ଭାବନା"
Team work,ଦଳଗତ/ସାମୂହିକ କାର୍ଯ୍ୟ
Tear gas,ଲୁହବୁହା ଗ୍ୟାସ୍
Technical,"ପ୍ରାୟୋଗିକ, ବୈଷୟିକ, ପାରିଭାଷିକ, ଯନ୍ତ୍ରକୌଶଳ ସଂକ୍ରାନ୍ତୀୟ"
Technical advice,ବୈଷୟିକ ଉପଦେଶ
Technical college,ବୈଷୟିକ ମହାବିଦ୍ୟାଳୟ
Technical data,ବୈଷୟିକ ଦତ୍ତତଥ୍ୟ
Technical post,ବୈଷୟିକ ପଦ
Technical qualification,ବୈଷୟିକ ଯୋଗ୍ୟତା
Technical skill,ବୈଷୟିକ କୌଶଳ
Technical term,ବୈଷୟିକ ଶବ୍ଦ
Technical training,ବୈଷୟିକ ପ୍ରଶିକ୍ଷଣ
Technician,"ପ୍ରାଯୁକ୍ତିକ, ବିଷୟ-ବିଦ୍"
Technique,"କୌଶଳ, ପ୍ରୟୋଗ କୌଶଳ"
Technocracy,"ପ୍ରବିଧି ତନ୍ତ୍ର, ପ୍ରଯୁକ୍ତ ତନ୍ତ୍ର"
Technocrat,ପ୍ରଯୁକ୍ତବିଦ୍
Technological,ପ୍ରଯୁକ୍ତିକ
Technologist,"ପ୍ରଯୁକ୍ତବିଦ୍, ପ୍ରୟୋଗ ବିଦ୍ୟାବିଦ୍"
Technology,"ପ୍ରଯୁକ୍ତି ବିଦ୍ୟା, ପ୍ରୟୋଗ ବିଜ୍ଞାନ"
Telebanking,ଦୁର ବ୍ୟାଂକିଙ୍ଗ
Telegram,"ତାରବାର୍ତ୍ତା, ଦୂରବାର୍ତ୍ତା ପଠାଇବା, ତାର, ଦୂରଲେଖ"
Telegraphic address,ତାର ଠିକଣା
Telegraphy,ତାର
Teleprinter message,ତାର ସମ୍ବାଦ/ସନ୍ଦେଶ
Television,"ଦୁରଦର୍ଶନ, ଟେଲିଭିଜନ, ଟି.ଭି."
Teleworking,"ଦୁର କାର୍ଯ୍ୟ, ତାର କାର୍ଯ୍ୟ"
Telex,ଟେଲେକ୍ସ
Teller,"କଥକ, ଗଣନାକାରୀ, ଗଣନକ"
Temper,"ମିଜାଜ୍, ମନୋସ୍ଥିତି, କୋପ, ନରମା କରିବା, ପାଣି ଦେବା, ଶାନ୍ତକରିବା"
Temperament,"ସ୍ୱାଭାବ, ପ୍ରକୃତି"
Temperamental,"ସ୍ୱାଭାବଗତ, ପ୍ରକୃତିଗତ"
Temperature,"ତାପ, ତାପମାତ୍ରା"
Tempo,"ବେଗମାତ୍ରା, ଲୟ"
Temporary,"ଅସ୍ଥାୟୀ, କ୍ଷମସ୍ଥାୟୀ, ସାମୟିକ"
Temporary advance,ଅସ୍ଥାୟୀ ଅଗ୍ରିମ
Temporary appointment,ଅସ୍ଥାୟୀ ନିଯୁକ୍ତି
Temporary disability,ଅସ୍ଥାୟୀ ଅକ୍ଷମ
Temporary post,ଅସ୍ଥାୟୀ ପଦ
Temporary restriction,ଅସ୍ଥାୟୀ ପ୍ରତିବନ୍ଧ
Temporary vacancy,ଅସ୍ଥାୟୀ ରିକ୍ତସ୍ଥାନ
Temptation,"ପ୍ରଲୋଭନୀୟ, ଆକର୍ଷଣୀୟ"
Tenable,"ସମର୍ଥନୀୟ, ତର୍କସଙ୍ଗତ"
Tenacity,"ଟାଣପମ, ଦୃଢ଼ପ୍ରତିଜ୍ଞା"
Tenancy,ପ୍ରଜାସ୍ୱତ୍ୱ ବିଧି
Tenant,"ପ୍ରଜା, ଭଡ଼ାଟିଆ"
Tendency,"ପ୍ରବୃତ୍ତି, ପ୍ରବଣତା"
Tender,"କୋମଳ, ସ୍ପର୍ଶକାତର, ଯାଚିବା, ପ୍ରଦାନ କରିବା, ଅର୍ପିବା, ନିବେଦପତ୍ର, ଟେଣ୍ଡର"
Tender box,"ନିବେଦ ପେଟୀ, ଟେଣ୍ଡର ପେଟୀ"
Tenderer,ଟେଣ୍ଡର ଦାତା
Tender notice,ନିବେଦ ସୂଚନା
Tentative,"ପ୍ରୟୋଗାତ୍ମକ, ତତ୍କାଳାର୍ଥ, ଅନିର୍ଦ୍ଦିଷ୍ଟ"
Tenure,"ରୟତି ସ୍ୱତ୍ୱ, ପଦଧାରଣ, ଧାରଣାବଧି"
Tenure of land,ଭୁରୟତି
Tenure of office,"ପଦାଧି, ପଦାଧିକାର କାଳ"
Tenure of post,ଧାରଣାବଧି ପଦ
Tenure of work,"ଠିକା ଅବଧି, କାର୍ଯ୍ୟାବଧି"
Tenure post,ଧାରଣାବଧି ପଦ
Term,"କାର୍ଯ୍ୟକାଳ, ମିଆଦ, ନିବନ୍ଧନ, ପଦ, ସର୍ତ୍ତ, ସଂପର୍କ"
Terminable,"ସମାପ୍ୟ, ସମାପନୀୟ"
Terminal (report etc.),ଅନ୍ତିମ ରିପୋର୍ଟ
Terminal tax,ଅନ୍ତିମ କର
Termination,"ସମାପ୍ତି, ଅବସାନ"
Termination clause,ସମାପ୍ତି ଖଂଡ
Termination notice,ସମାପ୍ତି ସୂଚନା
Termination of service,ସେବା ସମାପ୍ତି
Terminology,ପାରିଭାଷିକ ଶବ୍ଦାବଳୀ
Term loan,"ମିଆଦି କରଜ, ଅବଧି-କରଜ"
Term of office,ପଦାବଧି
Terms,"ଶର, ଅବଧି, ନିବନ୍ଧନ"
Terms and conditions,"ନିବନ୍ଧନ, ଓ ସର୍ତ୍ତ"
Terms of delivery,ହସ୍ତନ୍ତର ସର୍ତ୍ତ
Terms of reference,ନିର୍ଦ୍ଦେଶ ନିବନ୍ଧନ
Terms of service,"ଚାକିରି ସର୍ତ୍ତ, ସେବା ସର୍ତ୍ତ"
Territory,"ରାଜ୍ୟକ୍ଷେତ୍ରୀୟ, ପ୍ରାଦେଶିକ"
Terror,"ସନ୍ତ୍ରାସ, ଆତଙ୍କ"
Terrorism,"ସନ୍ତ୍ରାସବାଦ, ଆତଙ୍କବାଦ"
Terrorist,"ସନ୍ତ୍ରାସବାଦୀ, ଆତଙ୍କବାଦୀ"
Tertiary benefit,ତୃତୀୟକ ଲାଭ
Test,"ପରୀକ୍ଷଣ, କଷଟି, ନମୁନା, ପରଖିବା, ପରୀକ୍ଷା କରିବା"
Testament,"ଇଚ୍ଛାପ୍ତର, ରସିୟତନାମା"
Test charge,ପରିକ୍ଷଣ ଖର୍ଚ୍ଚ
Test check,ନମୁନା ଯାଞ୍ଚ
Tester,ପରୀକ୍ଷାର୍ଥୀ
Testify,"ପ୍ରମାଣିତ କରିବା, ସାକ୍ଷ୍ୟ ଦେବା"
Testimonial,"ପ୍ରଶଂସାପତ୍ର, ଚାରିତ୍ରିକ ପ୍ରମାଣପତ୍ର"
Testimony,"ପରିସାକ୍ଷ୍ୟ, ତଥ୍ୟ ପ୍ରକାଶ"
Testing report,ପରୀକ୍ଷଣ ବିବରଣୀ
Text,"ପାଠ୍ୟ, ମୂଳପାଠ, ପାଠ"
Thankful,କୃତଜ୍ଞ
Theme,ବିଷୟ ବସ୍ତୁ
Therapy,ବିନା-ଅସ୍ତ୍ରୋପଚାରୀ ଚିକିତ୍ସା
Third party,ତୃତୀୟ ପକ୍ଷ
Thoroughly,"ସମ୍ୟକରୂପେ, ସମ୍ପୂର୍ଣ୍ଣରୂପେ, ସମ୍ପୂର୍ଣ୍ଣ ଭାବେ"
Thoughtful,"ଚିନ୍ତାଶୀଳ, ବିଚାରବନ୍ତ, ବିଚାରଶୀଳ"
