abatement,"తొలగింపు, ముగింపు, తగ్గింపు"
visual,"దృష్టి, కనిపించినది, దృశ్యము"
visual display,దృశ్యప్రదర్శన
visual inspection,ప్రత్యేక్ష తనిఖీ
visual publicity,దృశ్య ప్రచారం
visualize,"ఊహించుకొను, దృశ్యనీయం చేసు"
vital,"ప్రధాన, ఆవశ్యక, కీలక, ప్రాణాధార"
vital part,ప్రాణముతో కూడిన భాగము
vital service,అత్యావశ్యక సేవ/సర్వీసు
vital statistics,జీవన సంబంధ గణాంకాలు
vitality,"జీవశక్తి, ప్రాణ శక్తి, జీవత్వము, సజీవత్వము"
viva voce,"మౌఖికం, ముఖాముఖి"
vivid,స్పష్ట
viz.,అంటే
vocabulary,"శబ్దజాలం, పదజాలం"
vocal,"కంఠ ధ్వని, ఉచ్చరింపబడిన, స్వేచ్ఛగా మాట్లాడు విధానము"
vocation,వృత్తి
vocational,వృత్తి సంబంధి
vocational guidance,వృత్తి మార్గదర్శకం
vocational training,"వృత్తివిద్యా శిక్షణ, ఉపాధి శిక్షణ"
voice,"ధ్వని, కంఠ ధ్వని, అభిప్రాయమిచ్చు"
void,"శూన్యం, చెల్లనిది, వ్యర్థ, నిరర్థకమైన"
volume,"సంపుటం (గ్రంథ సం), ఘన పరిమాణం (వస్తు సం.)"
voluminous,"బృహత్, విశాల, మహా, అపరిమిత"
voluntary,"బుద్ధిపూర్వక, ఐచ్ఛిక, స్వచ్చందమైన"
voluntary agency,స్వచ్చంద సేవా సంస్థ
voluntary settlement,స్వచ్ఛంద తీర్పు స్వచ్ఛంద పరిష్కారము
voluntary work,"స్వచ్ఛంద పని, స్వచ్ఛంద శ్రమ, స్వచ్ఛంద వృత్తి"
volunteer,"స్వచ్ఛంద సేవకుడు, స్వయం సేవకుడు"
votable,వోటుకు పెట్టదగిన
vote,"వోటు, సమ్మతి, అభిప్రాయము, ఎన్నిక"
vote of censure,"ఎన్నిక ఆక్షేపణ, ఎన్నిక నింద"
vote of thanks,"కృతజ్ఞతా ప్రతిపాదన, ధన్యవాద ప్రస్తావన"
vote on account,"ఖాతాపై వోటు, తాత్కాలిక బడ్జెటును ఆమోదించటం"
voted,"ఎన్నిక చేసిన, కోరుకొను, నిశ్చయించుట"
voter,సమ్మతిని తెలుపు అధికారము గలవాడు
voting,"ఓటు వేయు, ఎన్నిక జరుగుట"
voting by ballot,బ్యాలెట్ పత్రము ద్వారా ఎన్నుకొనుట
voting right,"వోటింగు అధికారం, ఎన్నుకొనే అధికారము"
vouched,"రూఢి పరచుట, స్థిరపరచుట, సాక్ష్యమిచ్చుట"
voucher,"వోచర్, నిరూపణ చీటీ, దస్తావేజు"
vow,"ఒట్టు, శపథం, ప్రతిజ్ఞ, వాగ్దానం"
vulgar,అసభ్య
vulnerable,"భేదించగల, ఛేదించగల, గాయపడగల"
vulnerable section (of society),"హానికి గురికాగల వర్గాలు, అనారక్షిత వర్గము"
wage,"వేతనం, భృతి, కూలి డబ్బులు"
wage administration,వేతన పరిపాలన
wage agreement,"కూలి ఒప్పందం, కూలి ఒడంబడిక/సమ్మతము/సమాధానము"
wage board,"వేతనాల/వేజ్ బోర్డు, కూలి సంస్థ"
wage ceiling,అత్యధిక వేతన సీమ
wage contract,వేతన ఒడంబడిక
wage earner,వేతన సంపాదనపరులు
wage formula,వేతన సూత్రము
wage payment,"వేతన చెల్లింపు, వేతనము పూర్తి చెల్లింపు"
wage policy,వేతన విధానం
wage rate,"వేతన రేటు, వేతన రేట్లు"
wage review,"కూలి సమీక్ష, వేతన సమీక్ష"
waiting list,"నిరీక్షకుల జాబితా, వేచి ఉన్న వారి జాబితా"
waive,"వదులుకొను, పరిత్యజించు, రద్దు చేయు"
walk-in-interview,ముందు అనుమతి లేకుండా ఏర్పాటు అయిన సాక్షాత్కారము
want,"కొఱత, అవసరము, లేమి"
ward,"విభాగం, కావలి, సంరక్షణ, ప్రత్యేక విభాగము"
warehouse,"గోదాం, గిడ్డంగి"
warehousing charges,"గిడ్డంగి ఖర్చులు, గోదాము రుసుము"
warning,హెచ్చరిక
warrant,"వారంటు, అధిపత్రం"
warranty,"పూచీ, వారంటీ"
washing allowance,ఉతుకుటకు ఇచ్చు భత్యం (బట్టలు)
wastage,"వృథా, దుబారా"
waste land,"పోరంబోకు, బంజరు భూమి"
waste paper basket,చెత్త కాగితాల బుట్ట
watch,"గడియారము, జాగరూకత, మేలుకొనియుండుట"
watch and ward,"వాచ్ అండ్ వార్డ్, కాపాడు, భద్రముగా సంరక్షించుట"
water proof,జలనిరోధక
water supply,నీటి సరఫరా
way bill,దారిబిల్లు
ways,పద్ధతులు
ways and means,సాధనోపాయాలు
ways and means committee,సాధనోపాయాలు సంఘం
wear and tear,అరుగు తరుగులు
weathering,"లోటు, నష్టపోవుట, క్షీణించుట"
weed out,తీసివేయుట
