ab initio,"મૂળથી, પ્રારંભથી"
vacate,"ખાલી કરવું, ત્યજવું, ત્યાગવું, છોડવું, બાતલ કરવું"
vacation,"અવકાશ, રજાઓ"
vacation pay,"રજાનું વેતન, અવકાશ વેતન, રજાનો પગાર"
vacuum,અવકાશ
vague idea,"અસ્પષ્ટ વિચાર, ધૂંધળો વિચાર"
valedictory address,"સમાપન ભાષણ, વિદાય ભાષણ"
valedictory function,"વિદાય સમારોહ, વિદાય સમારંભ"
valedictory session,"સમાપનસત્ર, વિદાયસત્ર, પૂર્ણાહુતિ સત્ર"
valid,માન્ય
valid argument,માન્ય દલીલ
valid reason,"માન્ય કારણ, તાર્કિક કારણ"
validity date,"માન્ય તારીખ, માન્યતા તારીખ"
valuation,"મૂલ્યાંકન, મૂલ્યન"
valuation certificate,મૂલ્યાંકન પ્રમાણપત્ર
valuation report,"મૂલ્યાંકન રિપોર્ટ, મૂલ્યાંકન અહેવાલ"
value,મૂલ્ય
valuer,"મૂલ્યકાર, મૂલ્યાંકનકાર"
variable,પરિવર્તી
variance,"અંતર, ભેદ, મતભેદ, વિચારભેદ"
variant,"પ્રકારો, ભિન્નતા, ભિન્ન"
variation,"વિભિન્નતા, વૈવિધ્ય"
variation in quality,"ગુણવત્તા, વૈવિધ્ય"
variety,વૈવિધ્ય
vehicle,વાહન
ventilate,"અભિવ્યક્ત કરવું, મોકળાશ કરી આપવી, હવા વહન"
venture,"સાહસ, જોખમ, નવઉદ્યમ"
venue,"સ્થાન, સ્થળ, જગ્યા"
veracity,સત્યવાદિતા
verbal,"મૌખિક, શાબ્દિક"
verbal agreement,મૌખિક દલીલ
verbal discussion,મૌખિક ચર્ચા
verbal order,મૌખિક આદેશ
verbal statement,મૌખિક બયાન
verbal warning,મૌખિક ચેતવણી
verbatim,"શબ્દશઃ, અક્ષરશઃ"
verbatim report,શબ્દશઃ અહેવાલ
verdict,"અધિમત, ચુકાદો"
verification,"સત્યાપન, ખરાઈ"
verification of antecedents,પૂર્વબયાનની ખરાઈ
verification of stores,માલની ખરાઈ
verification sheet,ખરાઈ પત્રક
verified copy,"ખરી નકલ, સત્યાપિત નકલ"
vernacular,"સ્થાનિક, દેશી"
version,"વિવરણ, રૂપાંતર, પાઠાંતર, પાઠ"
versus,"વિરુદ્ધ, સામસામે, -નિ સામે, આમને સામને"
vertical communication,ઉર્ધ્વસંચાર
vertical filing system,ઉર્ધ્વ ફાઈલ પદ્ધતિ
vertical mobility,ઉર્ધ્વ ગતિશીલતા
very good,"બહુ સરસ, ખૂબ સરસ, બહુ સારું, ખૂબ સારું"
vessel,"વાસણ, પાત્ર"
vest,"ન્યસ્ત, હઠ, ન્યસ્ત અધિકાર, બાતલ અધિકાર"
vested right,"નિહિત હક, નિહિત અધિકાર"
veto,"વીટો, નિષેધાધિકાર"
vetting,"પુનઃનિરીક્ષણ, તપાસ"
vettor,"તપાસકર્તા, પુનઃનિરીક્ષક"
via,"થઈને, ના માધ્યમે, ના દ્વારા"
via media,મધ્યમાર્ગ
viability,"સક્ષમતા, લાભપ્રદતા, વ્યવ્હારિતા"
viable,"વ્યવહારુ, સક્ષમ, લાભપ્રદ, ઉપયોગી"
vice,"ઉપ(પદનામ) વ્યાસન, ના સ્થાને"
vice versa,એનાથી ઉલટું
vicious circle,વિષચક્ર
victimise,"શિકાર બનવું, ભોગ બનવું"
victimization,"પીડન, ઉત્પીડન"
victory,"વિજય, જય"
video conferencing,"દ્દૃશ્ય અધિવેશન, વિડિયો કોન્ફરન્સીંગ"
view,"દૃષ્ટિ, દૃશ્ય"
view point,"દૃષ્ટિકોણ, દૃષ્ટિબિંદુ"
views,"દૃષ્ટિકોણ, અભિપ્રાય, મત, વિચાર"
vigilance,સતર્કતા
vigilance case,સતર્કતા મામલો
vigilence clearance,"સતર્કતા ના-વાંધા, સતર્કતા અનાપત્તિ"
vigorous,"જોરદાર, જોમદાર, કઠિન"
vindictive,"બદલાની ભાવના વાળું, પ્રતિશોધી"
violate,"અતિક્રમણ, ભંગ, નિયમનું ઉલ્લંધન"
violation,ઉલ્લંઘન
virtue,"સદગુણ, કૃપા, આધાર"
virtuours,સદગુણી
vis-a-vis,"ની તુલનાએ, ની અપેક્ષાએ, ની સામે"
visa,વિઝા
visit,મુલાકાત
visiting hours,"મુલાકાતના કલાકો, મુલાકાતનો સમય"
visitor,મુલાકાતી
visitor's book,મુલાકાતી પોથી
visitor's gallery,મુલાકાતી દીર્ધા
visual,"દૃશ્ય, દૃશ્યમાન"
visual display,"દૃશ્ય પ્રદર્શન, દૃશ્યમાન પ્રસ્તુતિ"
visual inspection,દૃશ્ય નિરીક્ષણ
visual publicity,દૃશ્ય પ્રાચાર
visualize,"દૃષ્ટિગત, સાકાર કરવું"
vital,"મહત્વપૂર્ણ, માંસલ, ભરેલું, ઔષધિ, ઔષધ"
vital part,"મર્મસ્થળ, મર્મસ્થાન"
vital service,અતિઆવશ્યક સેવા
vital statistics,"જીવન સંબંધી આંકડા, જન્મમૃત્યુ આંકડા, સ્ત્રીના શરીરના માપ સંબંધી આંકડા"
vitality,"જીવનશક્તિ, જીવંતતા"
viva voce,મૌખિક પરીક્ષા
vivid,"સ્પષ્ટ, સુસ્પષ્ટ"
viz.,અર્થાત
vocabulary,"શબ્દભંડોળ, શબ્દસમૂહ"
vocal,"મૌખિક, કંઠ્ય"
vocation,વ્યવસાય
vocational,વ્યાવસાયિક
vocational guidance,વ્યાવસાયિક માર્ગદર્શન
vocational training,વ્યાવસાયિક તાલીમ
voice,"અવાજ, ધ્વનિ"
void,"ખાલી, શૂન્ય, રિક્ત"
volume,"માત્રા, પરિમાણ, આયામ, ખંડ (ગ્રંથ, સંહિતાદિનો)"
voluminous,"વિશાળકાય, વિશાળ, વિરાટ"
voluntary,સ્વૈચ્છિક
voluntary agency,સ્વૈચ્છિક સંગઠન
voluntary settlement,"સ્વૈચ્છિક સમાધાન, સ્વૈચ્છિક ગોઠવણ"
voluntary work,સ્વૈચ્છિક કામ
volunteer,સ્વયંસેવક
votable,મતદેય
vote,મત
vote of censure,"ટીકા પ્રસ્તાવ, નિંદા પ્રસ્તાવ"
vote of thanks,આભારદર્શન
vote on account,લેખાનુદાન
voted,"આપેલો મત, દત્તમત"
voter,"મતદાતા, મતદાર"
voting,મતદાન
voting by ballot,મતપત્ર દ્વારા મતદાન
voting right,મતાધિકાર
vouched,સંપ્રમાણિત
voucher,વાઉચર
vow,"વ્રત, પ્રતિજ્ઞા, સોગંધ, બાધા"
vulgar,"અશ્લીલ, અભદ્ર, અરુચિકર, અપરસયુક્ત"
vulnerable,"સુભેદ્ય, આક્રમણક્ષમ"
vulnerable section (of society),"અરક્ષિક (સમાજનો) વર્ગ, અક્રમણ ભોગ્ય સામાજિક વર્ગ"
wage,"મજૂરી, વેતન"
wage administration,મજૂરી પ્રશાસન
wage agreement,મજૂરી કરાર
wage board,"વેતન બોર્ડ, મજૂરી બોર્ડ"
wage ceiling,મજૂરીની અધિકતમ મર્યાદા
wage contract,મજૂરીનો કોન્ટ્રાક્ટ
wage earner,"મજૂર, વેતન મેળવનાર"
wage formula,મજૂરી સંબંધી યોજના
wage payment,મજૂરી ચૂકવણી
wage policy,મજૂરી નીતિ
wage rate,મજૂરી દર
wage review,મજૂરી સમીક્ષા
waiting list,"પ્રતીક્ષાયાદી, પ્રતીક્ષાસૂચિ"
waive,"અધિત્યાગ, જતું કરવું, છોડી દેવું"
walk-in-interview,"પ્રવેશ સમાલાપ, સ્થળ પર સમાલાપ"
want,"અભાવ, કમી, આવશ્યકતા, જરૂરત"
ward,"આશ્રિત, રોગી કક્ષ, હોસ્પિટલનો વોર્ડ"
warehouse,"માલગોદામ, ગોદામ"
warehousing charges,માલગોદામનું ભાડું
warning,ચેતવણી
warrant,વોરંટ
warranty,"વોરંટી, આશ્વાસ્તિ"
washing allowance,ધોલાઈ ભથ્થું
wastage,"બગાડ, બરબાદી"
waste land,"મરુભૂમિ, ઉબડખાબડ જમીન, ખરાબો"
waste paper basket,કચરાટોપલી
watch,ઘડીયાળ
watch and ward,પહેરો અને નજર રાખવી
water proof,"વોટરપ્રૂફ, પાણીથી ખરાબ ન થાય તેવું"
water supply,"જળપુરવઠો, પાણીપુરવઠો"
way bill,માર્ગપત્રક
ways,"પ્રકારો, તરીકાઓ, રસ્તા, માર્ગો, ઉપાયો"
