Abatement,"ਉਪਸ਼ਮਨ, ਘਾਟ"
Token strike,ਸੰਕੇਤਕ ਹੜਤਾਲ
Tone,"ਸੁਰ, ਲਹਿਜਾ"
Tone down,"ਹੋਲੀ ਕਰਨਾ, ਹਲਕਾਕਰਨਾ"
Tone up,"ਤੇਜ ਕਰਨਾ, ਚੁਸਤ ਕਰਨਾ, ਚੁਸਤ ਬਨਾਣਾ, ਮਜਬੂਤ ਕਰਨਾ"
Tool,"ਉਜ਼ਾਰ, ਉਪਕਰਨ"
Tool down strike,ਹੜਤਾਲ
Top,"ਸਿਖਰ, ਸੀਸ, ਉੱਚ, ਪਰਮ"
Topic,"ਪ੍ਰਕਰਣ, ਵਿਸ਼ਾ, ਪ੍ਰਸੰਗ"
Top level decision,ਸਰਵ ਨਿਰਣਾ
Top management,ਪ੍ਰਬੰਧ ਸ਼ਿਖਰਲਾ
Topmost,ਸਰਵ ਉੱਚ
Top official,"ਸਰਵ ਉੱਚ, ਅਧਿਕਾਰੀ"
Topography,ਸਥਲਰੂਪ ਰੇਖਾ
Top priority,"ਸਰਵ ਉੱਚ, ਪ੍ਰਾਥਮਿਕਤਾ"
Top ranking,"ਸਰਵ ਉਚ, ਪਦਵੀ"
Top secret,ਪਰਮ ਗੁਪਤ
Torture,"ਤਸੀਹਾ, ਯਾਤਨਾ"
Total,"ਜੋੜ, ਕੁਲ"
Total service,ਕੁਲ ਸੇਵਾ
Tough,"ਕੜਾ, ਕਠੋਰ"
Tour,ਦੌਰਾ
Tour programme,ਦੌਰਾ ਕਾਰਜਕ੍ਰਮ
Tour report,ਦੌਰਾ ਰਿਪੋਰਟ
Tout,ਦਲਾਲ
Town (city),"ਨਗਰ, ਸ਼ਹਿਰ"
Township,ਨਗਰੀ
Trace,"ਖੋਜਨਾ, ਪਤਾ ਲਗਾਨਾ, ਸੁਰਾਗ, ਲੇਸ਼, ਖਾਕਾਖਿਚਣਾ, ਨਕਲ ਕਰਨੀ"
Tract,ਭੂਭਾਗ
Traction,ਖਿਚਾਉ
Trade agreement,ਵਪਾਰ ਸੰਧੀ
Trade union,ਕਿਰਤੀ ਸੰਘ
Tradition,ਪਰੰਪਰਾ
Train,"ਰੇਲਗੱਡੀ, ਸਿਖਿਅਤ ਕਰਨਾ"
Trainee,ਸਿਖਿਆਰਥੀ
Traineeship,ਸਿਖਿਆਰਥੀ ਵਜੀਫਾ
Trainer,ਸਿਖਿਆਂ ਦੇਣ ਵਾਲਾ
Training,ਸਿਖਿਆ
Training centre,ਸਿਖਿਆ ਕੇਂਦਰ
Training college,ਸਿਖਿਆ ਮਹਾਵਿਦਿਆਲਾ
Training division,ਸਿਖਿਆ ਵਿਭਾਗ
Training institute,ਸਿਖਿਆ ਸੰਸਥਾ
Training period,ਸਿਖਿਆ ਕਾਲ(ਅਵਧੀ)
Training programme,ਸਿਖਿਆ ਕਾਰਜਕ੍ਰਮ
Training unit,"ਸਿਖਿਆ ਇਕਾਈ, ਸਿਖਿਆ ਯੂਨਿਤ"
Trait,"ਲੱਖਣ, ਵਿਸ਼ੇਸ਼ਤਾ"
Traitor,"ਰੇਸ਼ਦ੍ਰੋਹੀ, ਗੱਦਾਰ"
Tranquility,ਸ਼ਾਂਤ ਅਵਸਥਾ
Transaction,"ਸੰਚਾਲਨ, ਵਿਹਾਰ, ਲੇਣ-ਦੇਣ"
Transaction of business,"ਕਾਰਜ ਕਰਨਾ, ਕਾਰੋਬਾਰ ਦਾ ਚਲਾਉਣਾ"
Transcription,"ਪ੍ਰਤਿਲਿ ਪੀਬਾਉਣਾ, ਉਤਾਗ ਲੈਣਾ"
Transfer,"ਸਥਾਨ ਅੰਤਰਣ, ਤਬਾਦਲਾ, ਬਦਲੀ, ਹਵਾਲੇ ਕਰਨਾ"
Transferable goods,ਤਬਦੀਲੀ ਲਾਇਕ ਚੀਜਾਂ
Transfer entry,ਤਬਾਦਲਾ ਦਾਖਿਲ ਕਰਨਾ
Transfer fee,ਤਬਾਦਲਾ ਫੀਸ
Transfer memorandum,ਤਬਾਦਲਾ ਗਿਆਪਨ(ਯਾਦ ਪੱਤਰ)
Transfer on deputation,ਪ੍ਰਤਿਨਿਯੁਕਤੀ ਤੇ ਸਥਾਨ ਅੰਤਰਣ
Transfer order,"ਸਥਾਨ ਅੰਤਰਣ ਆਦੇਸ਼, ਤਬਾਦਲਾ ਆਦੇਸ਼"
Transformation,ਰੂਪਾਂਤਰਣ
Transit,"ਅੰਤਰਕਾਲ, ਪਾਰ ਗਮਨ, ਪਾਰ ਵਹਨ"
Transit duty,ਅੰਤਰਕਾਲ ਕਰ
Transitional,ਅੰਤਰਕਾਲੀ
Transit pass,ਪਾਰਗਮਨ ਪਾਸ
Transit visa,ਪਾਰਗਮਨ ਵੀਜ਼ਾ
Transit workshop,ਪਾਰਗਮਨ ਕਾਰਜ ਸ਼ਾਲਾ
Translation,ਅਨੁਵਾਦ
Transliteration,ਲਿਪੀਅੰਤਰ
Transmission,"ਸੰਚਾਰ, ਸੰਚਾਰਣ, ਪ੍ਰੇਖਣ, ਭੇਜਣਾ, ਪਾਰੇਖਣ"
Transmit,"ਸੰਪ੍ਰੇਖਿਤ ਕਰਨਾ, ਪਾਰੇਖਿਤ ਕਰਨਾ"
Transport,"ਟ੍ਰਾਂਸਪੋਰਟ, ਆਵਾਜਈ"
Transport allowance,"ਟ੍ਰਾਂਸਪੋਰਟ, ਭੱਤਾ, ਆਵਾ ਜਈ ਭੱਤਾ"
Transportation,"ਟ੍ਰਾਂਸਪੋਰਟ, ਆਵਾਜਈ"
Transposition,"ਉਲਟਨਾ, ਅਦਲਾ-ਬਦਲੀ, ਥਾਂ ਬਦਲੀ"
Trap,"ਫੰਦਾ, ਫਸਾਨਾ, ਜਾਲ ਵਿਛਾਣਾ"
Travel,"ਯਾਤਰਾ, ਯਾਤਰਾ ਕਰਨਾ"
Travel expenses,ਯਾਤਰੀ ਖਰਚਾ
Traveller’s cheque,ਯਾਤਰੀ ਚੈਕ
Travelling allowance,ਯਾਤਰਾ ਭੱਤਾ
Travelling allowance bill,ਯਾਤਰਾ ਭੱਤਾ ਬਿਲ
Travelling concession,ਯਾਤਰਾ ਸੰਬੰਧੀ ਰਿਆਇਤ
Treachery,ਵਿਸ਼ਵਾਸ ਘਾਤ
Treason,ਰਾਜਦ੍ਰੋਹ
Treasury,"ਕੋਸ਼, ਖਜਾਨਾ"
Treasury bench,ਸੱਤਾ ਪੱਖ
Treasury deposit recipt(T.D.R.),ਖਜ਼ਾਨਾ ਜਮਾ ਰਸੀਦ
Treasury receipt,ਖਜ਼ਾਨਾ ਰਸੀਦ
Treasury voucher,"ਖਜ਼ਾਨਾ ਵਾਉਚਰ, ਕੋਸ਼ ਵਾਉਚਰ"
Treat,"ਉਪਚਾਰ ਕਰਨਾ, ਵਿਵਹਾਰ ਕਰਨਾ, ਮੰਨਣਾ, ਸਤਿਕਾਰ ਕਰਨਾ, ਦਾਵਤ ਦੇਣੀ"
Treaty,ਸੰਧੀ
Treaty of extradition,ਪ੍ਰਤਿਅਰਪਣ ਸੰਧੀ
Trek,"ਦੁਰਗਮ, ਪੈਦਲ ਯਾਤਰਾ, ਦੁਰਗਮ ਯਾਤਰਾ ਰਾਹ"
Trend,"ਪ੍ਰਵਿਰਤੀ, ਝੁਕਾਅ"
Trespass,"ਅਵੈਸ਼ ਪ੍ਰਵੇਸ਼, ਮਰਿਆਦਾ ਦਾ ਉਲੰਘਣ"
Trial,"ਜਾਂਚ, ਪਰਖ, ਪਰੀਖਿਆ"
Trial balance,"ਕੱਚਾਮਿਲਾਨ, ਬਾਕੀ-ਪਰੀਖਣ"
Trial period,"ਪਰਖ ਕਾਲ, ਪਰੀਖਣ ਅਵਧੀ"
Tribal area development,"ਜਨਜਾਤੀ ਕਾਲ, ਪਰੀਖਣ ਅਵਧੀ"
Tribal welfare,ਜਨਜਾਤੀ ਖੇਤਰ ਵਿਕਾਸ
Tribe,ਜਨਜਾਤੀ
Tribunal,ਅਧਿਕਰਣ
Tribute,"ਸਨਮਾਨ, ਸ਼ਰਧਾਜਲੀ"
Trim,ਕੌਟਣਾ ਝਾੜਨਾ
Trip,"ਸੈਰ ਸਪਾਟਾ, ਫੇਰਾ"
Tripartite,"ਤ੍ਰਿਪੱਖੀ, ਤਿਹਗ"
Triple,"ਤਿਹਰਾ, ਤ੍ਰਿਪੱਖੀ ਤਿਕੜੀ"
Triplicate,"ਤਿੰਨ ਪ੍ਰਤੀਆਂ, ਤੀਸਰੀ ਪ੍ਰਤਿ, ਤਿਹਰਾ"
True copy,ਸਹੀ ਪ੍ਰਤਿਲਿਪੀ
Trunk call,ਟ੍ਰੰਕ ਕਾਲ
Trust,"ਨਿਆਸ, ਵਿਸਵਾਸ"
Trustee,ਨਿਆਸੀ
Trustworthy,ਵਿਸ਼ਵਾਸ਼ੀ
Turn down,ਅਸਵੀਕਾਰ ਕਰ ਦੇਨਾ
Turnkey basis,ਸਮੁੱਚਾ ਅਧਾਰ
Turnout,"ਉਤਪਾਦ, ਹਾਜਿਰੀ"
Turnover,ਕੁੱਲ ਵਿਕਰੀ
Turpitude,ਹੋਛਾਪਨ
Tutelage,ਸਰਪ੍ਰਸਤੀ
Twin city,ਜੁੜਵਾਂ ਸ਼ਹਿਰ
Twin sharing basis,ਦੋ ਦੇ ਆਧਾਰ ਤੇ
Type,"ਟਾਈਪ, ਛਾਪਾ, ਨਮੂਨੇ ਦਾ, ਟਾਈਪ ਕਰਨਾ"
Typescript,ਟਾਈਪ ਪ੍ਰਤਿ
Typewriter,ਟਾਈਪ ਰਾਈਟਰ
Typewriting,ਟਾਈਪ ਕਰਨਾ
Typical,ਨਮੂਨੇ ਦਾ
Typing,ਟਾਈਪ ਕਰਨਾ
Typing machine,ਟਾਈਪ ਮਸ਼ੀਨ
Typing pool,ਟਾਈਪਿੰਗ ਪੂਲ
Typographical error,ਟਾਈਪ ਦੀ ਭੁੱਲ
Ulterior motive,ਗੁਪਤ ਪ੍ਰਯੋਜਨ
Ultimate,"ਅੰਤਿਮ, ਚਰਮ"
Ultimate consignee,ਅੰਤਿਮ ਮਾਲ ਪਾਉਣ ਵਾਲਾ
Ultimate cost,ਅੰਤਿਮ ਲਾਗਤ
Ultimate goal,ਅੰਤਿਮ ਈਛਾ
Ultimately,ਅਖਿਰਕਾਰ
Ultimately objective,ਅੰਤਿਮ ਉਦੇਸ਼
Ultimatum,ਅੰਤਿਮ ਚੇਤਾਵਨੀ
Ultimo,ਪਿਛਲੇ ਮਹੀਨੇ ਦਾ
Ultravires,"ਅਧਿਕਾਰ ਤੋ ਬਾਹਰ, ਅਵੈਧ"
Umpire,ਐਮਪਾਅਰ
Unacceptable,ਅਸਵੀਕਾਰ
Unaccompanied baggage,ਅਸੰਗੀ ਅਸਬਾਬ
Unaided,ਗੈਰ ਸਾਹਇਤਾ ਪ੍ਰਾਪਤ
Unambiguous,ਸੰਦੇਹ ਹੀਨ
Unanimity,ਸਰਵ ਸੱਮਤੀ
Unanimous,"ਇਕਮਤ, ਸਰਵ-ਸੱਮਤੀਵਾਲਾ"
Unanimous decision,ਇਕ ਮਤ ਨਿਰਣਾਂ
Unassuming,"ਸਿਧਾ-ਮਾਦਾ, ਨਿਮਰ"
Unattached,ਅਸੰਬੰਧਿਤ
Unauthorized,ਅਣ ਅਧੀਕ੍ਰਿਤ
Unavoidable,"ਲਾਜਮੀ, ਅਨੀਵਾਰੀ"
Unavoidable circumstances,"ਲਾਜਮੂ, ਸਿਥਿਤਿਆਂ"
Unavoidable delay,ਲਾਜਮੀ ਦੇਰੀ
Unbecoming,ਅਢੁੱਕਵਾਂ
Uncashed,ਬਿਨਾ ਭੁਨਾਇਆ
Uncertain,ਅਨਿਸ਼ਚਿਤ
Unclaimed,ਲਾਵਾਰਿਸ
Unclaimed baggage,ਲਾਵਾਰਿਸ ਸਮਾਨ
Unclassified,ਅਵਰਗੀਕ੍ਰਤ
Uncommitted,ਅਪ੍ਰਤਿਬੱਧ
Uncommon,ਅਸਧਾਰਣ
Uncompromising,"ਕੱਟਰ, ਹਠਧਰਮੀ"
Unconditional,ਬਿਨਾ ਸ਼ਰਤ
Unconfirmed,ਅਪੁਸ਼ਟ
Unconfirmed report,ਅਪੁਸ਼ਟ ਖਬਰ
Unconstitutional,ਅਸੰਵੈਧਾਨਿਕ
Uncontested,ਨਿਰ ਵਿਰੋਧ
Uncontrolled,ਅ-ਵਿਰੰਤਰਣ
Uncorroborated,ਅਪੁਸ਼ਟ
Uncovered demand,ਅਪੂਰਤੀ ਮੰਗ
Undated,"ਤਿਥੀ ਰਹਿਤ, ਬੇਤਾਰੀਖ"
Undelivered letter,ਅਵਤਰਿਤ ਪੱਤਰ
Under,"ਅਧੀਨ, ਘੱਟ, ਨੀਵਾਂ ਖੋੜਾ, ਅਲਪ"
Under-age,"ਲਾਬਾਲਗ, ਘੱਟ ਉਪਰ"
Under assessment,ਘੱਟ ਨਿਰਧਾਰਣ
Under billing,ਘੱਟ ਰਕਮ ਦਾ ਬਿਲ ਬਣਾਉਣਾ
Under certificate of posting,ਵਿਚਾਰਧੀਨ
Under consideration,"ਅਲਪਉਪਭੋਗ, ਖੋੜੀਖਪਤ"
Underconsumption,ਅਲਪਵਿਕਸਤ
Underdeveloped,ਅਪੂਰਨ ਰੁਜਗਾਰ ਵਾਲਾ
Under employed,ਅਪੂਰਨ ਰੁਜ਼ਗਾਰ
Under employment,ਘੱਟ ਅਨੁਮਾਨ
Under-estimate,ਘੱਟ ਮਹੱਤਵ ਦੇਣਾ
Under examination,ਪਰੀਖਿਆ ਅਧੀਨ
Undergraduate,ਪੂਰਣ ਸਨਾਤਕ
Underground,"ਗੁਪਤ, ਛੁਪਿਆ ਹੋਇਆ"
Under-hand dealing,ਗੁਪਤ ਸੌਦਾ
Under invoicing,ਘਟ ਬੀਚਕ ਬਨਾਉਣਾ
Underlined,ਰੇਖਾ ਅੰਕਿਤ
Under-manned,ਘੱਟ ਆਦਮੀ ਰੱਖਣਾ
Under-paid,ਘਟ ਵੇਤਨ ਪ੍ਰਾਪਤ
Under-population,ਅੱਟਜਨ ਗਿਣਤੀ
Under-production,ਘੱਟ ਉਤਪਾਦਨ
Under reference,"ਸੰਦਰਭ-ਅਧੀਨ, ਪ੍ਰਸੰਗ ਅਧੀਨ"
Undersigned,ਨਿਮਨ ਹਸਤਾਖਰੀ
Understanding,"ਸਮਝੋਤਾ, ਸਮਝਦਾਰੀ, ਸਦਭਾਵਨਾ"
Undertake,"(ਭਾਰ ਜਾਂ ਜਿੰਮਾ) ਲੈਣਾ, ਵਚਨ ਦੇਣਾ, ਵਚਨ ਬੱਧ ਹੋਣਾ"
Undertaking,"ਵਚਨ, ਵਚਨ ਦੇਣਾ"
Undertrial,"ਵਿਚਾਰ ਅਧੀਨ, ਪਰਖ ਅਧੀਨ"
Under-utilization,ਅਲਪ ਉਪਯੋਗ
Under-valuation,ਅਲਪ ਮੂਲਾਂਕਣ
Undesirable,"ਬੇਲੋੜਾ, ਅਨਇੱਛਿਤ"
Undignified,"ਅਸ਼ੋਭਨੀ, ਮਰਿਆਦਾ ਰਹਿਤ"
Undisbursed loan,ਅਣ ਵੰਡਿਆ ਕਰਜ
Undisputed,ਨਿਰਵਿਵਾਦ
Undivided,"ਅਣ ਵੰਡਿਆ, ਅਵਿਭਾਜਿਤ"
Undoubtedly,ਨਿਰਸੰਦੇਹ
Undue,"ਅਨੁਚਿਤ, ਨਾਮੁਨਾਸਿਬ"
Undue delay,ਅਨੁਚਿਤ ਦੇਰੀ
Undue influence,"ਅਨੁਚਿਤ ਪ੍ਰਭਾਵ, ਨਾਮੁਨਾਸਿਬ ਪ੍ਰਭਾਵ"
Unearned income,ਅਣਕਮਾਈ ਆਮਦਨ
Unearth,"ਪਤਾ ਲਗਾਨਾ, ਖੋਜ ਕੱਡਣਾ"
Uneconomical,ਅਲਾਭਕਾਰੀ
Unemployment,"ਬੇਰੁਜ਼ਗਾਰੀ, ਬੇਕਾਰੀ"
Uneven land,ਅਸਮਤਲ ਜਮੀਨ
Unexpected delay,ਅਕਾਸਮਕ ਦੇਰੀ
Unexpired,ਅਸਮਾਪਤ
Unfair,"ਅਨੁਚਿਤ, ਅਯੋਗ"
Unfair dismissal,ਅਨੁਚਿਤ ਬਰਖਾਸਤਗੀ
Unfair labour practices,ਅਨੁਚਿਤ ਸ਼੍ਰਮ ਵਿਵਹਾਰ
Unfair means,"ਅਨੁਚਿਤ ਤਰੀਕੇ, ਅਨੁਚਿਤ ਸਾਧਨ"
Unfavourable,ਪ੍ਰਤਿਕੂਲ
Unfit,"ਅਯੋਗ, ਅਸਵਸਧ, ਨਿਕੰਮਾ"
Unfit for promotion,ਪਦ ਉੱਨਤੀ ਦੇ ਅਯੋਗ
Unforeseen,"ਅਦ੍ਰਿਸ਼ਟ, ਅਚਨਚੇਤ"
Unforeseen charges,"ਅਦ੍ਰਿਸ਼ਟ ਪ੍ਰਭਾਰ, ਅਣਵੇਖੇ ਖਰਚੇ"
Unforeseen circumstances,"ਅਚਨਚੇਤ ਪਰੀ ਸਥਿਤਿਆਂ, ਅਣਵੇਖੇ ਹਾਲਾਤ"
Unicameral,ਇਕਸਦਨੀ
Unicameral legislature,ਇਕ ਸਦਨੀ ਵਿਧਾਨ ਮੰਡਲ
Unification,ਏਕੀਕਰਨ
Unified scale,ਏਕੀਕਿਰਤ ਵੇਤਨਮਾਨ
Uniform,"ਇਕ ਰੂਪ, ਇਕ ਸਮਾਨ, ਵਰਦੀ"
Uniform increase,ਇਕ ਸਮਾਨ ਵਾਧਾ
Uniformity,ਇਕ ਰੂਪਤਾ
Unilateral,"ਇਕਪੱਖੀ, ਇਕਤਰਫਾ"
Unilateral action,"ਇਕਪੱਖੀ ਕਾਰਵਾਈ, ਇਕ ਤਰਫਾ ਕਾਰਵਾਈ"
Uninterrupted power supply (UPS),ਨਿਰਵਿਘਨ ਬਿਜਲੀ ਪੂਰਤੀ
Uninterrupted service,ਨਿਰਵਿਘਨ ਸੇਵਾ
Union,"ਸੰਘ, ਯੂਨਿਅਨ"
Unionism,ਸੰਘਵਾਦ
Union list,ਸੰਘਸੂਚੀ
Union territory,ਸੰਘ ਰਾਜ ਖੇਤਰ
Unique,"ਅਦੁੱਤੀ, ਨਿਰਾਲਾ"
Unit,"ਇਕ. ਇਕਾਈ, ਯੂਨਿਟ"
Unitary,ਏਕੀ
United,ਸੰਯੁਕਤ
Unity,ਏਕਤਾ
Universal,"ਸਰਵ ਵਿਆਪਕ, ਸਰਵ ਲੋਕਿਕ, ਸਰਵ ਦੇਸ਼ੀ"
Unjust,"ਨਿਆਂਹੀਣ, ਅਨੁਚਿਤ"
Unlawful,"ਗੈਰ ਕਾਨੂਨੀ, ਅਵੈਧ"
Unlawful purpose,ਅਵੈਧ ਪ੍ਰਯੋਜਨ
Unlimited,ਅਸੀਮਿਤ
Unlimited power,ਅਸੀਮਿਤ ਸ਼ਕਤੀ
Unlisted,ਅਸੂਚੀਬੱਧ
Unloading,"ਭਾਰ ਉੱਤਾਰਨਾ, ਉਤਾਰਨਾ"
Unmarried,ਅਵਿਵਾਹਿਤ
Unnatural,"ਗੈਰ ਕਦਰਤੀ, ਅਸੁਭਾਵਕ"
Unnatural death,ਗੈਰ ਕੁਦਰਤੀ ਮੋਤ
Unnecessary,ਗੈਰ ਜਰੂਰੀ
Unofficial,"ਗੈਰ ਸਰਕਾਰੀ, ਗੈਰ ਸ਼ਾਸਕੀ, ਅਣ ਅਧਿਕਾਰਿਤ"
Unofficial letter,"ਗੈਰ ਸਰਕਾਰੀ ਪੱਤਰ, ਗੈਰ ਸ਼ਾਸ਼ਕੀ"
Unofficial note,"ਗੈਰ ਸਰਕਾਰੀ ਨੋਟ, ਗੈਰ ਸ਼ਾਸ਼ਕੀ ਨੋਟ"
Unofficial strike,ਅਣ ਅਧਿਕਾਰਿਤ ਹੜਤਾਲ
Unopposed,ਨਿਰਵਿਰੋਧ
Unpaid wages,ਨਿਰਵੇਤਨ ਮਜਦੂਰੀ
Unparliamentary,"ਅਸੰਮਦੀ, ਅਸ਼ਿਸ਼ਟ"
Unpopular,"ਲੋਕ ਅਪ੍ਰਿਯ, ਬਦਨਾਮ"
Unprecedented,ਨਵੇਕਲਾ
Unpredictable,"ਸੰਭਾਵਨਾ ਵਿਰੁੱਧ, ਅਸਥਿਰ ਸੁਭਾਅ"
Unproductive,"ਅਨਉਤਪਾਦਕ, ਫਲਰਹਿਤ, ਬੇਕਾਰ"
Unproductive labour,ੳਨਉਤਪਾਦਕ ਸ਼੍ਰਮ
Unprofitable,ਨਿਰਲਾਭ
Unpunctual,ਸਮੇਂ ਦਾ ਗੈਰ ਪਾਬੰਦ
Unqualified,"ਅਯੋਗ, ਬਿਨਾ ਸ਼ਰਤ"
Unqualified apology,ਬਿਨਾ ਸਰਤ ਖਿਮਾਯਚਨਾ
Unquestionable,"ਨਿਰਸ਼ੰਸਾ, ਨਿਰਸੰਦੇਹ, ਨਿਰਵਿਵਾਦ"
Unrealizable sum,ਡੁੱਬੀ ਗੇਸ਼ੀ
Unreasonable,"ਅਨੁਚਿਤ, ਅਯੁਕਤ"
Unrecorded,ਬਿਨਾ ਰਿਕਾਰਡ ਕੀਤਾ ਗਿਆ
Unregistered document,ਗੈਰ ਰਜਿਸਟਰੀ ਦਸਤਾਵੇਜ
Unregistered firm,ਗੈਰ ਰਜਿਸਟਰੀ ਫਾਰਮ
Unreserved vacancy,ਗੈਰ ਗਖਵੀਂ ਖਾਲੀ ਥਾਂ
Unsafe,ਅਸੁਰੱਖਿਅਤ
Unsatisfactory,ਅਸੰਤੋਖਜਨਕ
Unsecured,"ਅਸੁਰੱਖਿਤ, ਜਮਾਨਤ ਰਹਿਤ"
Unsecured loan,ਜਮਾਨਤ ਰਿਹਤ ਕਰਜਾ
Unserviceable,"ਬੇਕਾਰ, ਵਿਗੜਿਆ ਹੋਇਆ, ਨਿਕੰਮਾ"
Unskilled,ਅਕੁਸ਼ਲ
Unskilled labour,ਅਕੁਸ਼ਲ ਮਜਦੂਰ
Unsound mind,ਬੀਮਾਰ ਚਿੱਤ(ਮਨ)
Unspecified,ਅਨਿਸ਼ਚਿਤ
Unstable,ਅਸਥਿਰ
Unstable government,ਅਸਥਿਰ ਸਰਕਾਰ
Unstarred,ਗੈਰ ਭਾਗ ਅੰਕਿਤ
Unsuitable,"ਅਣ ਉਪਯੋਗੀ, ਅਣ ਅਨੁਕੂਲ"
Untenable,ਅਸਮਰਥ
Untouchability,"ਅਛੂਤ, ਛੁਆਛੂਤ"
Untrained,ਅਣਸਿਖਿਆ
Untrustworthy,ਅਵਿਸ਼ਵਸਨੀ
Unused,ਅਪ੍ਰਯੁਕਤ
Unusual delay,ਅਸਾਧਾਰਣ ਦੇਰੀ
Unutilized grant,ਅਪ੍ਰਯੁਕਤ ਅਨੁਦਾਨ
Unwarranted,"ਨਿਆਂਵਿਰੁੱਧ ਅਕਾਰਣ, ਉਚਿੱਤ ਰਹਿਤ"
Unwilling,ਅਨਇੱਛਕ
Unworthy,"ਅਯੋਗ, ਨਿਖਿੱਧ"
Updation,ਆਧੁਨਿਕ ਬਨਾਉਣਾ
Upgrade,"ਦਰਜਾ ਵਧਾਉਣਾ, ਪਦ ਉੱਨਤੀ"
Upgrading,ਉਚੀਆਣਾ
Upgrading of post,ਪਦ ਉਨੱਤੀ
Uphold,"ਪੁਸ਼ਟ ਕਰਨਾ, ਹਮਾਇਤ ਕਰਨਾ, ਮਰਿਆਦਾ ਬਨਾਨਾ"
Upkeep,"ਸੰਭਾਲ, ਨਿਗਰਾਨੀ"
Uplift,ਉਠਾਨ ਉਨੱਤੀ
Upper,"ਉਪਰੀ, ਉੱਚ"
Upper age limit,"ਉਪਰੀ ਆਯੂ, ਸੀਮਾ"
Uppermost,ਸਭ ਤੌਂ ਉੱਤੇ
Up to date,ਆਧੁਨਿਕ ੳਤੀ ਆਧੁਨਿਕ
Upright,"ਖਰਾ, ਸਿੱਧਾ"
Upset,"ਪਰੇਸ਼ਾਨ ਹੋਨਾ, ਉਲਟ ਪੁਲਟ, ਗੜਬੜ ਕਰ ਦੇਣਾ, ਗੜਬੜ ਹੋਣਾ"
Upward communication,ਉੱਪਰ ਵਲ ਸੰਚਾਰ
Upward trend,ਉੱਪਰ ਵਲ ਪ੍ਰਵ੍ਰਿਤੀ
Urban,"ਨਗਰੀ, ਸ਼ਹਿਰੀ"
Urbanization,"ਨਗਰੀਕਰਨ, ਸ਼ਹਿਰੀਕਰਨ"
Urgency,ਅਤਿ ਅਵਸ਼ਕ
Urgent,"ਤੁਰੰਤ, ਅਤਿਅਵਸ਼ਕ, ਬਹੁਤ ਜ਼ਰੂਰੀ"
Urgent action,ਤੁਰੰਤ ਕਾਰਵਾਈ
Urgent call,ਤੁਰੰਤ ਕਾਲ
Urgent slip,"ਤੁਰੰਤ ਪਰਚੀ, ਬਹੁਤ ਜ਼ਰੂਰੀ ਪਰਚੀ"
Usage,"ਪ੍ਰਯੋਗ, ਚਲਨ, ਪ੍ਰਥਾ, ਉਪਯੋਗੀ"
Useful,"ਉਪਯੋਗੀ ਕਰਤਾ, ਉਪਭੋਗਤਾ"
User,ਪ੍ਰਯੋਗ ਕਰਤਾ
User item,ਉਪਭੋਗੀ ਵਸਤ
Usual,ਸਾਧਾਰਣ
Usurp,ਹੜਪਨਾ
Utility,ਉਪਯੋਗਤਾ
Utilization,ਉਪਯੋਗ
Utilization certificate,ਉਪਯੋਗ ਪ੍ਰਮਾਣਪੱਤਰ
Vacancy,ਖਾਲੀ ਜਾਂ ਵਿਹਲੀ ਥਾਂ
Vacant post,ਖਾਲੀ ਪਦ
Vacate,"ਖਾਲੀ ਕਰਨਾ, ਛੋੜਨਾ, ਖਾਲੀ ਕਰਨਾ"
Vacation,"ਛੁੱਟੀ, ਲੰਬੀਆਂ, ਛੱਟੀਆਂ"
Vacation pay,ਵਿਸ਼੍ਰਾਮਕਾਲੀਨ ਵੇਤਨ
Vacuum,"ਖਲਾ, ਸੁੰਨ ਸਥਾਨ"
Vague idea,ਅਸਪਸ਼ਟ ਵਿਚਾਰ
Valedictory address,ਵਿਦਾਈ ਭਾਸ਼ਣ
Valedictory function,"ਵਿਦਾਇਗੀ ਸਮਾਰੋ, ਅਲਵਿਦਾਈ"
Valedictory session,ਵਿਦਾਇਗੀ ਸੇਸ਼ਨ
Valid,"ਉਚਿਤ, ਜਾਇਜ, ਵਾਜਬ"
Valid argument,ਮੰਨਣਣੋਗ ਦਲੀਲ
Validity date,"ਮੰਨਣਯੋਗ ਤਿਥੀ, ਪ੍ਰਮਾਣਿਕ ਤਰੀਕ"
Valid reason,"ਦਰਸਤ ਕਾਰਣ, ਉਚਿਤਕਾਰਣ"
Valuation,"ਮੁੱਲਾਂਕਣ, ਮਾਲੀਅਤ, ਅੰਦਾਜ਼ਾ"
Valuation certificate,ਮੁੱਲਾਂਕਣ ਪ੍ਰਮਾਣਪੱਤਰ
Valuation report,ਮੁਲਾਂਕਣ ਰਿਪੋਰਟ
Value,"ਮੁੱਲ, ਹਿਸਾਬ, ਮਹੱਤਵਦੇਨਾ"
Valuer,ਮੁੱਲ ਪਾਉਣ ਵਾਲਾ
Variable,"ਪਰਿਵਰਤਨ ਸ਼ੀਲ, ਅਸਥਿਰ"
Variance,"ਅੰਤਰ, ਭਿੰਨਤਾ, ਮਤਭੇਦ"
Variant,"ਭਿੰਨ, ਵੱਖਰਾ, ਭਿੰਨ, ਬਦਲਣਵਾਲਾ"
Variation,"ਭੇਦ, ਅੰਤਰ, ਪਰਿਵਰਤਨ, ਤਬਦੀਲੀ"
