ab initio,"ಹೊಸತಾಗಿ, ಮೊದಲಿನಿಂದ"
supplementary demand,ಪೂರಕ ಬೇಡಿಕೆ
supplementary grant,ಪೂರಕ ಅನುದಾನ
supplementary question,ಪೂರಕ ಪ್ರಶ್ನೆ
supplementary rules,ಪೂರಕ ನಿಯಮಗಳು
supplier,ಸರಬರಾಜುದಾರ
supply,ಸರಬರಾಜು
support,"ಬೆಂಬಲ, ಜೀವನ ಪೋಷಣೆ, ಆಧಾರ"
supporter,"ಬೆಂಬಲಿಗ, ಜೀವ ಪೋಷಕ"
supporting documents,"ಸಮರ್ಥಕ ದಾಖಲೆಗಳು, ಆಧಾರ ದಾಖಲೆಗಳು"
suppress,"ಹತ್ತಿಕ್ಕು, ದಮನಮಾಡು"
supremacy,ಸರ್ವೋಚ್ಛತೆ
supreme,ಸರ್ವೋಚ್ಛ
surcharge,ಮೇಲು ಕರ
surety,"ಜಾಮೀನು, ಜಾಮೀನುದಾರ"
surety bond,"ಜಾಮೀನು ಮುಚ್ಚಳಿಕೆ, ಜಾಮೀನು ಪತ್ರ"
surface inspection,ಮೇಲ್ಮೈ ತನಿಖೆ
surface transport,"ನೆಲ ಸಾರಿಗೆ, ಭೂಸಾರಿಗೆ"
surgery,"ಶಸ್ತ್ರ ಚಿಕಿತ್ಸೆ, ಶಲ್ಯ ಚಿಕಿತ್ಸೆ"
surname,"ಅಡ್ಡಹೆಸರು, ಕುಟುಂಬನಾಮ"
surplus,ಹೆಚ್ಚುವರಿ
surplus budget,"ಹೆಚ್ಚುವರಿ ಅಂದಾಜು ಪತ್ರ, ಬಜೆಟ್"
surplus report,ಹೆಚ್ಚುವರಿ ವರದಿ
surplus staff,ಹೆಚ್ಚುವರಿ ಸಿಬ್ಬಂದಿ
surprise check,ಅನಿರೀಕ್ಷಿತ ತನಿಖೆ
surprise visit,ಅನಿರೀಕ್ಷಿತ ಭೇಟಿ
surrender,ಒಪ್ಪಿಸು
surroundings,"ಸುತ್ತಣ ಪರಿಸರ, ಸುತ್ತಮುತ್ತ"
surtax,"ಹೆಚ್ಚಿಗೆ ತೆರಿಗೆ, ಮೇಲುಕರ, ಅತಿಕರ"
surveillance,"ನಿಗಾ, ಕಾವಲು"
survey,"ಪರಿಶೀಲನೆ, ಸಮೀಕ್ಷೆ, ಭೂಮಾಪನ, ಭೂಮಿಯ ಅಳತೆ, ಸರ್ವೆ"
survey report,"ಸರ್ವೆ ವರದಿ, ಭೂಮಾಪನ ವರದಿ, ಸಮೀಕ್ಷಾ ವರದಿ"
survival,ಬದುಕಿ ಉಳಿದಿರುವುದು
surviving,"ಬದುಕಿರುವ, ಬದುಕಿ ಉಳಿದಿರುವ"
survivor,ಬದುಕಿ ಉಳಿದಿರುವವನು
susceptibility,"ಸಂಶಯ ಪಡುವಿಕೆ, ಗುಮಾನಿ ಪಡುವಿಕೆ"
suspect,"ಸಂಶಯ ಪಡು, ಗುಮಾನಿಪಡು, ಸಂಶಯಿತ ವ್ಯಕ್ತಿ, ಶಂಕಿತ ವ್ಯಕ್ತಿ"
suspend,"ಅಮಾನತ್ತಿನಲ್ಲಿಡು, ನಿಲಂಬನಗೊಳಿಸು"
suspense,"ಅನಿಶ್ಚಯ, ಅನಿಶ್ಚಿತ"
suspense account,ಅಮಾನತ್ತು ಲೆಕ್ಕ
suspension,ಅಮಾನತು
suspension order,"ಅಮಾನತ್ತಿನ ಆದೇಶ, ನಿಲಂಬನಗೊಳಿಸಿದ ಆದೇಶ"
suspicion,"ಸಂದೇಹ, ಗುಮಾನಿ"
sustainable,"ಸಹಿಸಬಹುದಾದ, ತಡೆದುಕೊಳ್ಳುಬಹುದಾದ ತಾಳಿಕೊಳ್ಳಬಹುದಾದ"
sustainable growth,ತಾಳಿಕೊಳ್ಳಬಹುದಾದ ಬೆಳವಣಿಗೆ
sustained,"ಒಂದೇಸಮನೆ, ಉಂಟಾದ"
swear,"ಶಪಥ ಪೂರ್ವಕ ಹೇಳು, ಪ್ರಮಾಣ ಮಾಡು, ಶಪಥ ಗ್ರಹಿಕೆ"
swearing-in-ceremony,ಪ್ರಮಾಣ ವಚನ ಸ್ಪೀಕಾರ
syllabus,"ಪಠ್ಯಕ್ರಮ, ಪಾಠ ಸೂಚಿಕೆ, ವಿಷಯ ಸೂಚಿಕೆ"
symbol,"ಗುರುತು, ಚಿಹ್ನೆ, ಸಂಜ್ಞೆ, ಲಾಂಛನ, ಸಂಕೇತ, ಪ್ರತೀಕ"
symmetry,"ಹೊಂದಿಕೆ, ಪ್ರಮಾಣ ಬದ್ಧತೆ, ಅಚ್ಚುಕಟ್ಟು"
sympathy,ಸಹಾನುಭೂತಿ
sympathy strike,"ಸಹಾನುಭೂತಿಯಮುಷ್ಕರ, ಸಂಪುಮಾಡು"
symposium,ವಿಚಾರಗೋಷ್ಠಿ
symptom,"ಲಕ್ಷಣ, ಚಿನ್ಹೆ"
synchronise,"ಜೊತೆಚೊತೆಯಲ್ಲಿ ಆಗು, ಘಟಿಸು"
synopsis,"ಸಾರಾಂಶ, ಸಂಗ್ರಹ, ಮುಖ್ಯಾಂಶ, ಸಾರ ಲೇಖ"
synthesis,"ಸಂಶ್ಲೇಷಣೆ, ಸಂಯೋಗ"
synthetic,"ಸಂಶ್ಲಿಷ್ಟ, ಸಂಯೋಜಿತ, ಕೃತಕ, ಮಿಶ್ರ"
system,"ಪದ್ಧತಿ, ವ್ಯವಸ್ಥೆ, ವ್ಯೂಹ, ಸಮುದಾಯ, ತಂತ್ರ"
systematic,"ವೈವಸ್ಥಿತ, ಕ್ರಮಬದ್ಧ"
systematic work,ವ್ಯವಸ್ಥಿತ ಕಾರ್ಯ
systems analysis,"ತಂತ್ರ ವಿಶ್ಲೇಷಣೆ, ಸಿಸ್ಟೆಮ್ಸ್ ಅನಾಲಿಸಿಸ್"
tab folder,"ಟ್ಯಾಬ್ ಫೋಲ್ಡರ್, ಮಡಚಿರುವ ಕಟ್ಟಿಗೆ, ಕಟ್ಟಿರುವ ಗುರುತಿನ ಚೀಟಿ"
table,"ಕೋಷ್ಟಕ, ಮೇಜು"
table of contents,"ವಿಷಯ ಸೂಚಿಕೆ, ಪರಿವಿಡಿ, ಪಟ್ಟಿ"
table of the house,ಸದನದ ವಿಷಯ ಸೂಚಿ
tableau,ಸ್ತಬ್ಧಚಿತ್ರ
tabular,"ಕೋಷ್ಟಕದ, ತಖ್ತೆಯ"
tabulated statement,ಕೋಷ್ಟಕರೂಪದ ವಿವರ ಪತ್ರ
tabulation,ಅಂಕಿಪಟ್ಟಿ ತಯಾರಿಕೆ
tabulator,ಕೋಷ್ಟಕ ತಯಾರಕ
tackle,"ಸಂಭಾಳಿಸು, ನಿಭಾಯಿಸು, ಕೈಹಚ್ಚು, ಬಿಡಿಸುವ ಪ್ರಯತ್ನ"
tact,"ಔಚಿತ್ಯ ಜ್ಞಾನ, ಸಮಯೋಪಾಯ, ಜಾಣ್ಮೆ, ಚಾತುರ್ಯ, ನೈಪುಣ್ಯ"
tactful,"ಜಾಣ್ಮೆಯ, ಚತುರನಾದ, ದಕ್ಷ"
tactic,"ಜಾಣ್ಮೆಯುಕ್ತಿ, ತಂತ್ರ, ಯುಕ್ತಿ, ಕೌಶಲ್ಯ"
tag,"ಸೇರಿಸು, ಗಂಟು ಹಾಕುದಾರ, ವಿಳಾಸ ಪಟ್ಟಿ ಕಟ್ಟು"
take home pay,ಕೈಗೆ ಸಿಗುವ ವೇತನ
take over,ವಹಿಸಿಕೊಳ್ಳುವುದು
talent search,ಪ್ರತಿಭಾನ್ವೇಷಣೆ
talented,"ಪ್ರತಿಭಾನ್ವಿತ, ಪ್ರತಿಭಾವಂತ"
tally,"ತಾಳೆಯಾಗು, ತಾಳೆನೋಡು, ಹೊಂದಿಕೆ"
tally card,"ತಾಳೆನೋಡುವ ಕಾರ್ಡ್, ಹೊಂದಿಕೆ"
tampering,"ಅಕ್ರಮವಾಗಿ ತಿದ್ದುವುದು, ಹಸ್ತ ಕ್ಷೇಪ ಮಾಡು"
tangible,"ಮೂರ್ತ, ಪ್ರತ್ಯಕ್ಷ ವಾಸ್ತವ, ಸ್ಪರ್ಶವೈದ್ಯ"
tangible asset,"ಭೌತಿಕ, ಮೂರ್ತ ಆಸ್ತಿಗಳು, ಸುಸ್ಪಷ್ಟ ಸಂಪತ್ತು"
tape,"ಪಟ್ಟಿ, ಟೇಪು, ಅಳತೆಪಟ್ಟಿ, ಧ್ವನಿಸಂಗ್ರಹ"
tapping,"ಇಳಿಸುವುದು, ತಟ್ಟು, ಪ್ರಸ್ತಾಪಿಸುವುದು, ದೂರವಾಣಿ ಕದ್ದಾಲಿಕೆ"
tardiness,"ಶಿಥಿಲತೆ, ಆಲಸ್ಯ, ಮಂದಗತಿ"
target,"ಗುರಿ, ಲಕ್ಷ್ಯ, ಖೇಟಕ"
target date,ಲಕ್ಷ್ಯ ದಿನಾಂಕ
tariff,"ಆಮದು ರಫ್ತು ಸುಂಕ, ಶುಲ್ಕಸೂಚಿ, ಪಟ್ಟಿ, ದರಪಟ್ಟಿ"
tarnish,"ಮಲಿನ ಗೊಳಿಸು, ಕೆಡಿಸು, ಹಾಳುಮಾಡು, ಕಳಂಕಹಚ್ಚು"
task,"ಕಾರ್ಯ, ಕೆಲಸ, ಕಾರ್ಯಭಾರ"
task force,ಕಾರ್ಯ ಪಡೆ
tax,"ಕರ, ತೆರಿಗೆ, ಭಾರ, ತೆರಿಗೆ ವಿಧಿಸು, ಹೊರೆ ಹೊರಿಸು, ಭಾರ ಹೊರಿಸು, ಪೀಡಿಸು"
tax abatement,"ತೆರಿಗೆ ತಗ್ಗಿಸುವುದು, ತೆರಿಗೆ ಕಡಿಮೆ ಮಾಡುವುದು"
tax adjustment,ತೆರಿಗೆ ಹೊಂದಾಣಿಕೆ
tax assessment,ತೆರಿಗೆ ನಿರ್ಧಾರಣ
tax avoidance (tax loophole),ತೆರಿಗೆ ತಪ್ಪಿಸುವುದು
tax consultant,"ತೆರಿಗೆ ಸಮಾಲೋಚಕ, ತೆರಿಗೆ ಸಲಹಗಾರ"
tax declaration,"ತೆರಿಗೆ ಘೋಷಣೆ, ತೆರಿಗೆ ಪ್ರಕಟಣೆ"
tax deducted at source,"ಮೂಲದಲ್ಲಿ ಹಿಡಿಯಲಾದ, ಕಟ್ಟಾಯಿಸಲಾದ ತೆರಿಗೆ"
tax deduction,ತೆರಿಗೆ ಹಿಡಿಯುವುದು
tax evasion,ತೆರಿಗೆ ತೆಪ್ಪಿಸುವುದು
tax exemption,ತೆರಿಗೆ ವಿನಾಯಿತಿ
tax free,ತೆರಿಗೆ ಮುಕ್ತ
tax payer,"ಕರದಾರ, ತೆರಿಗೆದಾರ ಸುಂಕ, ಕರ ಅಥವಾ ತೆರಿಗೆ ಕೊಡುವವನು"
tax rebate,"ತೆರಿಗೆ ರಿಯಾಯಿತಿ, ಸೋಡಿ"
tax return,ತೆರಿಗೆ ಪಾವತಿ
tax schedule,ತೆರಿಗೆ ಅನುಸೂಚಿ
taxable,ತೆರಿಗೆ ಹಾಕಬಹುದಾದ
taxable income,ತೆರಿಗೆ ಹಾಕಬಹುದಾದ ವರಮಾನ
taxation,"ತೆರಿಗೆ ವಿಧಿಸುವುದು, ತೆರಿಗೆ ಹಾಕುವುದು"
team spirit,"ಸಹಭಾವನೆ, ತಂಡದಲ್ಲಿ ಸಹಕಾರದ ಭಾವನೆ"
team work,"ತಂಡದ ಕೆಲಸ, ಗುಂಪು ಶೌರ್ಯ"
tear gas,ಅಶ್ರುವಾಯು
technical,ತಾಂತ್ರಿಕ
technical advice,ತಾಂತ್ರಿಕ ಸಲಹೆ
technical college,ತಾಂತ್ರಿಕಮಹಾವಿದ್ಯಾಲಯ
technical data,ತಾಂತ್ರಿಕ ಮಾಹಿತಿ
technical post,ತಾಂತ್ರಿಕ ಹುದ್ದೆ
technical qualification,ತಾಂತ್ರಿಕ ವಿದ್ಯಾರ್ಹತೆ
technical skill,"ತಾಂತ್ರಿಕ ಕೌಶಲ್ಯ, ತಾಂತ್ರಿಕನಿಪುಣತೆ"
technical term,"ತಾಂತ್ರಿಕ ಶಬ್ದಗಳು, ಪಾರಿಭಾಷಿಕ ಶಬ್ದಗಳು"
technical training,ತಾಂತ್ರಿಕ ತರಬೇತಿ
technician,ತಂತ್ರಜ್ಞ
technique,ತಂತ್ರ
technocracy,ತಾಂತ್ರಿಕತೆ
technocrat,ತಂತ್ರಪ್ರವೀಣ
technological,"ತಂತ್ರಶಾಸ್ತ್ರದ, ತಾಂತ್ರಿಕವಾದ"
technologist,"ತಾಂತ್ರಿಕ, ಪ್ರೌದ್ಯೋಗಿಕ ವಿದ್"
technology,ತಂತ್ರಶಾಸ್ತ್ರ
telebanking,"ದೂರ-ಬ್ಯಾಂಕಿಂಗ್, ಟೆಲಿಬ್ಯಾಂಕಿಂಗ್"
telegram,"ಟೆಲಿಗ್ರಾಂ, ತಂತಿ, ತಾರು"
telegraphic address,ತಂತಿ ವಿಳಾಸ
telegraphy,"ತಂತಿ, ಟೆಲಿಗ್ರಫಿ, ತಾರಾಯಂತ್ರ ಶಾಸ್ತ್ರ"
teleprinter message,"ದೂರಮುದ್ರಕ ಸಂದೇಶ, ಟೆಲಿಪ್ರಿಂಟರ್ ಸಂದೇಶ"
television,"ದೂರದರ್ಶನ, ಟೆಲಿವಿಷನ್"
teleworking,ದೂರ-ಕಾರ್ಯ
telex,ಟೆಲೆಕ್ಸ್
teller,"ಮತಗಣಕ, ಹೇಳುವವನು"
temper,"ಹದ ಮಾಡು, ಮನಃಸ್ಥಿತಿ, ಸ್ವಭಾವ, ಕೊಪ, ತೀವ್ರತೆಯನ್ನು ಕುಗ್ಗಿಸು"
temperament,"ಮನೋಧರ್ಮ, ಸ್ವಭಾವ, ವೈಚಿತ್ರ್ಯ"
temperamental,"ವಿಚಿತ್ರ ಸ್ವಭಾವ, ಚಂಚಲ ಸ್ವಭಾವ, ಕೋಪ ಸ್ವಭಾವದ"
temperature,"ಉಷ್ಠಾಂಶ, ಜ್ವರ, ತಾಪಮಾನ"
tempo,"ಗತಿ, ವೇಗ, ತಾಳ"
temporary,ತಾತ್ಕಾಲಿಕ/ಹಂಗಾಮಿ
temporary advance,ತಾತ್ಕಾಲಿಕ ಮುಂಗಡ
temporary appointment,"ತಾತ್ಕಾಲಿಕ, ಹಂಗಾಮಿ ನಿಯುಕ್ತಿ"
temporary disability,"ತಾತ್ಕಾಲಿಕ ನ್ಯೂನತೆ, ಅಂಗವಿಕಲತೆ"
temporary post,"ತಾತ್ಕಾಲಿಕ, ಹಂಗಾಮಿ, ಹುದ್ದೆ"
temporary restriction,ತಾತ್ಕಾಲಿಕ ನಿರ್ಬಂಧ
temporary vacancy,ತಾತ್ಕಾಲಿಕ ಹುದ್ದೆ
temptation,ಪ್ರಲೋಭನೆ
tenable,ಸಮರ್ಥನೀಯ
tenacity,"ದೃಢತೆ, ಪಟ್ಟು ಬಿಡದ"
tenancy,"ಗೇಣಿ, ಗೇಣಿದಾರಿಕೆ"
tenant,"ಗೇಣಿದಾರ, ಬಾಡಿಗೆದಾರ"
tendency,"ಪ್ರವೃತ್ತಿ, ಒಲವು"
tender,"ಟೆಂಡರು ಕೊಡು, ಸಲ್ಲಿಸು, ದರಖಾಸ್ತು ಕೊಡುತ್ತೇನೆನ್ನು, ಕೋಮಲ, ಆಶಕ್ತ"
tender box,ಟೆಂಡರ್ ಪೆಟ್ಟಿಗೆ
tender notice,"ಟೆಂಡರ್ ಸೂಚನೆ, ನೋಟೀಸು"
tenderer,ಟೆಂಡರು ಸಲ್ಲಿಸುವವನು
tentative,"ತಾತ್ಕಾಲಿಕ, ಪ್ರಯೋಗಾರ್ಥವಾದ, ನಿರ್ಧಾರಿತ ವಲ್ಲದ"
tenure,"ಅಧಿಕಾರದ ಅವಧಿ, ಅನುಭವ, ವಸ್ತುವಿನ ಭೋಗ್ಯ"
tenure of land,ಭೂಹಿಡುವಳಿ
tenure of office,ಅಧಿಕಾರಾವಧಿ
tenure of post,ಹುದ್ದೆಯ ಅವಧಿ
tenure of work,ಕೆಲಸದ ಅವಧಿ
tenure post,"ನಿಶ್ಚಿತಾವಧಿಯ, ನಿರ್ದಿಷ್ಟಾವಧಿಯ-ಹುದ್ದೆ"
term,"ಪದ, ಶಬ್ದಮಾತು, ಮುದ್ದತು, ಕಾರ್ಯಕಾಲ, ಅವಧಿ, ಕಾಲಾವಧಿ, ನಿಬಂಧನೆ"
term loan,"ವಾಯಿದೆ, ಗಡುವಿನ-ಸಾಲ"
term of office,"ಅಧಿಕಾರಿಯ ಕಾಲಾವಧಿ, ಕಾರ್ಯಕಾಲದ ಅವಧಿ"
terminable,ಮುಕ್ತಾಯಗೊಳಿಸಬಹುದಾದ ನೇಮಕ
terminal (report etc.),ಅಂತಿಮ
terminal tax,"ಕೊನೆಯ ತೆರಿಗೆ, ಕರ"
termination,"ಮುಕ್ತಾಯ, ಸೇವೆಯ ಮುಕ್ತಾಯ"
termination clause,"ಖಂಡ, ಸಮಾಪ್ತಿಯ ವಾಕ್ಯಾಂಗ, ಕಲಮಿನ ಮುಕ್ತಾಯ"
termination notice,ಸೇವಾ ಮುಕ್ತಾಯ ಸೂಚನೆ
termination of service,ಸೇವೆಯ ಮುಕ್ತಾಯ
terminology,ಪರಿಭಾಷೆ
terms,"ನಿಬಂಧನೆಗಳು, ಷರತ್ತುಗಳು, ಕರಾರುಗಳು"
terms and conditions,"ವಿಧಿ ನಿಯಮಗಳು, ಕರಾರು ಮತ್ತು ಷರತ್ತು"
terms of delivery,"ತಲುಪಿಸುವ ಷರತ್ತುಗಳು, ಬಿಡುಗಡೆ ಮಾಡುವ ಷರತ್ತುಗಳು"
terms of reference,ಉಲ್ಲೇಖಾ ನಿಬಂಧನೆಗಳು
terms of service,"ಸೇವಾ ನಿಬಂಧನೆಗಳು, ಷರತ್ತುಗಳು"
territory,"ರಾಜ್ಯ ಕ್ಷೇತ್ರ, ಪ್ರದೇಶ, ಭೂಭಾಗ"
terror,"ಭಯ, ಭೀತಿ, ಗಾಬರಿ, ದಿಗಿಲು"
terrorism,ಭಯೋತ್ಪಾದನೆ
terrorist,ಭಯೋತ್ಪಾದಕ
tertiary benefit,"ತೃತಿಯ ಲಾಭ, ಹಿತ ಮೂರುವಿಧ ಲಾಭಾ, ಹಿತಗಳು"
test,"ಪ್ರಯೋಗ, ಪರೀಕ್ಷೆ, ಪ್ರಯೋಗಿಸು, ಪರೀಕ್ಷಿಸು"
test charge,"ಪರೀಕ್ಷಾ ಪ್ರಭಾರ, ನಿಯೋಗ ಪರಿಶೀಲನೆ"
test check,ಪರೀಕ್ಷಾ ತನಿಖೆ
testament,"ಉಯಿಲು, ಮರಣಶಾಸನ, ಒಡಂಬಡಿಕೆ"
tester,"ಪರೀಕ್ಷಕ, ವಿದ್ಯುತ್-ಶಕ್ತಿ ಪರಿಕ್ಷಕ ಯಂತ್ರ"
testify,"ಸಾಕ್ಷ್ಯಹೇಳು, ಪ್ರಮಾಣಿತಗೊಳಿಸು"
testimonial,ಯೋಗ್ಯತಾ ಪತ್ರ
testimony,"ಸಾಕ್ಷ್ಯ, ಪ್ರಮಾಣ, ಶಿಫಾರಸು"
testing report,ಪರೀಕ್ಷಾ ವರದಿ
text,"ಪೂರ್ಣಪಾಠ, ಗ್ರಂಥ ಪಾಠ, ಪಠ್ಯ"
thankful,ಕೃತಜ್ಞ
theme,ವಿಷಯವಸ್ತು
therapy,"ಚಿಕಿತ್ಸೆ, ವೈದ್ಯಕ್ರಿಯೆ"
third party,"ಮೂರನೇ ಪಕ್ಷ ಕಾರ, ಅನ್ಯ ಪಕ್ಷ ಕಾರ"
thoroughly,"ಆದ್ಯಂತವಾಗಿ, ಸಂಪೂರ್ಣವಾಗಿ"
thoughtful,"ವಿಚಾರಶೀಲ, ವಿಚಾರಪೂರ್ಣ"
threat,ಬೆದರಿಕೆ
thrift,ಮಿತವ್ಯಯ
through,"ಮೂಲಕ, ನೇರ, ಸೀದಾ, ಮುಖಾಂತರ"
throw out,"ಉದ್ದಕ್ಕೂ, ಆದ್ಯಂತ"
thumb impression,ಹೆಬ್ಬೆರಳ ಗುರುತು
thumping majority,ಭಾರೀ ಬಹುಮತ
ticket,"ಟಿಕೆಟ್ಟು, ಅಪ್ಪಣೆ ಚೀಟು, ಪ್ರವೇಶ ಅನುಮತಿ ಪತ್ರ"
tie,"ಕಟ್ಟು, ಬಂಧನ, ಸಮಸಮ, ನೇರಸ್ಪರ್ಧೆ, ಬಿಗಿ, ಕಟ್ಟುವ ಕರವಸ್ತ್ರ"
tied loan,ಕಟ್ಟುಬದ್ಧಸಾಲ
tier,"ಸ್ತರ, ಟಯರ್"
tilt,"ಅಲುಗಾಡು, ವಾಲು, ಬಾಗು, ಚರ್ಚೆಯಿಂದ ಇರಿ"
time,"ಸಮಯ, ವೇಳೆ, ಕಾಲ, ಅವಧಿ, ಸಂದರ್ಭ"
time allowed,ನೀಡಲಾಗಿರುವ ಸಮಯ
time barred,"ಅವಧಿ ಮೀರಿದ, ಕಾಲಮೀರಿದ"
time bound,"ಅವಧಿ ಬದ್ಧ, ಕಾಲಬದ್ಧ"
time card,ವೇಳಾಪತ್ರ
time deposit (=fixed deposit),ಅವಧಿಕ ಠೇವಣಿ
time keeping,ಸಮಯಪಾಲನೆ
time limit,ಕಾಲಮಿತಿ
time off,ಸ್ವಲ್ಪ ಕಾಲಾವಕಾಶ
time overrun,"ಕಾಲ ಮೀರಿದ, ಸಮಯಮೀರಿದ"
time rate (time work),"ವೇಳಾದರ, ಕಾಲಕ್ಕೆ ತಕ್ಕದರ"
time recording machine,ಕಾಲದಾಖಲಿಸುವ ಯಂತ್ರ
time scale,ಕಾಲಿಕ ಶ್ರೇಣಿ
time schedule,ಕಾಲ ಅನುಸೂಚಿ
time stamp,ಸಮಯ ಮುದ್ರೆ
time study equipment,ಸಮಯ ಅಧ್ಯಯನ ಸಾಧನ
time table,ವೇಳಾ ಪಟ್ಟಿ
timed programme,ಕಾಲನಿಗದಿಯಾದ ಯೋಜನೆ
timing,ಸಮಯ ನಿರ್ಧಾರಣ
tips,ಭಕ್ಷೀಸು
title,"ಶಿರೋನಾಮೆ, ಶೀರ್ಷಿಕೆ, ಬಿರುದು, ಸ್ವಾಮ್ಯ ಹೆಸರು, ಹಕ್ಕು"
title holder,"ಹಕ್ಕು ದಾರ, ಪದವಿಧರ"
toilet,"ಶೌಚಾಲಯ, ಪ್ರಸಾಧನ, ವೇಷಭೂಷಣ"
token,"ಗುರುತು, ಸಾಂಕೇತಿಕ, ಗುರುತುಬಿಲ್ಲೆ"
token member,ಸಾಂಕೇತಿಕ ಸದಸ್ಯ
token pay,ಸಾಂಕೇತಿಕ ವೇತನ
token strike,ಸಾಂಕೇತಿಕ ಮುಷ್ಕರ
tone,"ಸ್ವರ, ಕಂಠ, ದೇಹಾರೋಗ್ಯ"
tone down,"ಮಂದಗೊಳಿಸು, ಹಗುರಗೊಳಿಸು"
tone up,"ಚುರುಕುಗೊಳಿಸು, ಶಕ್ತಿ ಯುತಗೊಳಿಸು"
tool,"ಉಪಕರಣ, ಸಲಕರಣೆ"
tool down strike,ಉಪಕರಣ ಸ್ಥಗಿತ ಮುಷ್ಕರ
top,"ಶಿಖರ, ಶೃಂಗ, ಉಚ್ಛ, ಪರಮ"
top level discussion,ಅತ್ಯುನ್ನತ ಮಟ್ಟದ ಚರ್ಚೆ
top management,ಮೇಲ್ಮಟ್ಟದ ನಿರ್ವಹಣೆ
top official,ಉನ್ನತಾಧಿಕಾರಿ
top priority,"ಮೊದಲ ಆದ್ಯತೆ, ಅಗ್ರಪ್ರಾಶಸ್ತ್ಯ"
top ranking,ಶಿಖರ ಶ್ರೇಣಿಯ
top secret,"ಪರಮ ರಹಸ್ಯ, ಅತಿ ರಹಸ್ಯ"
topic,"ವಸ್ತು, ವಿಷಯ"
topmost,ಸರ್ವೋಚ್ಛ
topography,ಸ್ಥಳವಿವರಣೆ
torture,"ಚಿತ್ರಹಿಂಸೆ ಮಾಡು, ಚಿತ್ರಹಿಂಸೆ"
total,"ಒಟ್ಟು, ಜುಮ್ಲಾ, ಸಂಪೂರ್ಣ, ಸಕಲ"
total service,ಒಟ್ಟು ಸೇವೆ
tough,"ಕಠಿಣವಾದ, ಬಿಗಿಯಾದ, ದೃಢ"
tour,"ಪ್ರವಾಸ, ಯಾತ್ರೆ, ಸಂಚಾರ"
tour programme,ಪ್ರವಾಸ ಕಾರ್ಯಕ್ರಮ
tour report,ಪ್ರವಾಸ ವರದಿ
tout,"ದಳ್ಳಾಳಿ, ಜೂಜು ಕುದುರೆಯ ಬೇಡಿಕೆ"
town (city),"ಪಟ್ಟಣ, ನಗರ"
township,ನಗರಿ
trace,"ಗುರುತು, ಸುಳಿವು, ಕುರುಹು, ರೇಖಿಸು, ಗುರುತಿಸು, ಪತ್ತೆ ಹಚ್ಚು, ಅಂಶ ಚಿಕ್ಕಗ್ರಂಥ"
tract,"ಪ್ರದೇಶ, ಪ್ರಾಂತ, ಹರವು, ಬಯಲು"
traction,ಕರ್ಷಣ
trade agreement,ವ್ಯಾಪಾರ ಒಪ್ಪಂದ
trade union,ಕಾರ್ಮಿಕ ಸಂಘ
tradition,"ಪರಂಪರೆ, ಸಂಪ್ರದಾಯ, ರೂಢಿ"
train,"ರೈಲುಗಾಡಿ, ಶ್ರೇಣಿ, ಸರಣಿ, ತರಬೇತಿಕೊಡು"
trainee,"ತರಬೇತಿ ಪಡೆಯುತ್ತಿರುವವನು, ಪ್ರಶಿಕ್ಷಣಾರ್ಥಿ"
traineeship,ಪ್ರಶಿಕ್ಷಣ ವೃತ್ತಿ
trainer,"ತರಬೇತುದಾರ, ಪ್ರಶಿಕ್ಷಕ"
training,ತರಬೇತಿ
training centre,ತರಬೇತಿ ಕೇಂದ್ರ
training college,ತರಬೇತಿ ಕಾಲೇಜು
training division,ತರಬೇತಿ ವಿಭಾಗ
training institute,ತರಬೇತಿ ಸಂಸ್ಥೆ
training period,ತರಬೇತಿ ಅವಧಿ
training programme,ತರಬೇತಿ ಕಾರ್ಯಕ್ರಮ
training unit,ತರಬೇತಿ ಘಟಕ
trait,"ಲಕ್ಷಣ, ವಿಶೇಷಕ"
traitor,"ದೇಶದ್ರೋಹಿ, ವಿಶ್ವಾಸಘಾತುಕ"
tranquility,"ನೆಮ್ಮದಿ, ಪ್ರಶಾಂತತೆ"
transaction,"ವ್ಯವಹಾರ, ವಹಿವಾಟು"
transaction of business,ವ್ಯಾಪಾರ ವಹಿವಾಟು
transcription,"ಲಿಪ್ಯಂತರ, ನಕಲು"
transfer,"ವರ್ಗಾವಣೆ, ಸ್ಥಳಾಂತರ, ವರ್ಗಾಯಿಸು, ಹಸ್ತಾಂತರ"
transfer entry,"ವರ್ಗಾವಣೆಯ ದಾಖಲೆ, ವರ್ಗಾವಣೆಯ ನಮೂದು"
transfer fee,ವರ್ಗಾವಣೆಯ ಶುಲ್ಕ
transfer memorandum,ವರ್ಗಾವಣೆಯ ಜ್ಞಾಪನ ಪತ್ರ
transfer on deputation,"ಪ್ರತಿ ನಿಯೋಜನೆಯ ಮೇಲೆ ವರ್ಗಾವಣೆ, ನಿಯೋಗಿಕ ವರ್ಗಾವಣೆ"
transfer order,ವರ್ಗಾವಣೆಯ ಆದೇಶ
transferable goods,ವರ್ಗಾವಣೆ ಮಾಡಬಹುದಾದ ಸರಕು/ಸಾಮಾನು
transformation,ರೂಪಾಂತರ
transit,"ಸಾಗಣೆ, ಒಯ್ಯವಿಕೆ, ಪ್ರಯಾಣ"
transit duty,ಸಾಗಣೆ ಶುಲ್ಕ
