ab initio,"ആദ്യം മുതല്‍ക്ക്, ആരംഭത്തിലെ"
symptom,ലക്ഷണം
synchronise,ഒരേസമയത്ത് സംഭവിക്കുക
synopsis,"രൂപരേഖ, വിഷയസംക്ഷേപം"
synthesis,"സേശ്ലേഷണം, ഉത്ഗ്രഥനം"
synthetic,സംശ്ലീഷ്ടമായ
system,"സമ്പ്രദായം, വ്യവസ്ഥ, പദ്ധതി, നികായം"
systematic,വ്യവസ്ഥിതമായ
systematic work,വ്യവസ്ഥിതമായ ജോലി
systems analysis,പദ്ധതി വിശകലനം
tab folder,ടാബ് ഫോള്‍ഡര്‍
table,"മേശ, പട്ടിക, സാരണി"
table of contents,"ഉള്ളടക്കപ്പട്ടിക, വിഷയസൂചിക"
table of the house,സഭയുടെ മേശപ്പുറം
tableau,"ദൃശ്യം, ടാബ്ലോ"
tabular,പട്ടികരൂപത്തിലുള്ള
tabulated statement,പട്ടികരൂപത്തിലുള്ള സ്റ്റേറ്റ്മെന്‍റ്
tabulation,"പട്ടികരൂപം, സാരണീകരണം"
tabulator,"സാരണീയന്ത്രം, സാരണീകരണം ചെയ്യുന്നവന്‍"
tackle,"നിര്‍വഹിക്കുക, ഉടക്കെടുക്കുക"
tact,"യുക്തി, ചാതുര്യം"
tactful,ചാതുര്യമുള്ള
tactic,യുക്തി
tag,ടാഗ്
take home pay,കിഴിവുകൾ നീക്കിയുള്ള ശമ്പളം
take over,ചാര്‍ജ് എടുക്കുക
talent search,പ്രതിഭ തിരയൽ
talented,പ്രതിഭാ സമ്പന്നനായ
tally,"യോജിക്കുക, പൊതുത്തപ്പെടുക, അസ്ശല്‍കണക്ക്"
tally card,ഒത്തുനോക്കൽ കാര്‍ഡ്
tampering,"കേടവരുത്തുക, അനാവശ്യമായി ഇടപെടുക"
tangible,"മൂര്‍ത്തമായ, പ്രത്യക്ഷമായ"
tangible asset,"മൂര്‍ത്തമായ ആസ്തി, പ്രത്യക്ഷമായ ആസ്തി"
tape,"ടേപ്പ്, അളവുനാട"
tapping,"ഉപയോഗിക്കുക, ഫോണ്‍ ടാപ് ചെയ്യുക"
tardiness,ശൈഥില്യം
target,"ടാര്‍ഗറ്റ്, ലക്ഷ്യം"
target date,ലക്ഷ്യ തീയതി
tariff,"താരിപ്പ്, തീരുവപ്പട്ടിക"
tarnish,മനിലമാക്കുക
task,പ്രവൃത്തി
task force,ടാസ്ക് ഫോഴ്സ്
tax,"കരം, നികുതി"
tax abatement,കരം കുറയ്ക്കൽ
tax adjustment,ടാക്സ് അഡ്ജസ്റ്റമെന്‍റ്
tax assessment,"നികുതി തിട്ടപ്പെടുത്തൽ, നികുതി നിര്‍ധാരണം"
tax avoidance (tax loophole),കരം കൊടുക്കാതെ ഒഴിയുക
tax consultant,"ടാക്സ് കണ്‍സള്‍ട്ടന്‍റ്, ടാക്സ് പരാമര്‍ശദാതാവ്"
tax declaration,കരം പ്രവ്യാപനം
tax deducted at source,കരം മൂലസ്ഥാനത്ത് കുറയ്ക്കുക
tax deduction,ടാക്സ് ഡിഡക്ഷന്‍
tax evasion,"കരം കൊടുക്കാതെ ഒഴിയുക, കരവഞ്ചനം"
tax exemption,കരം ഇളവ്
tax free,കരമൊഴിവ്
tax payer,നികുതിദായകന്‍
tax rebate,ടാക്സ് റിബേറ്റ്
tax return,ടാക്സ് റിട്ടേണ്‍
tax schedule,ടാക്സ് ഷെഡ്യൂൾ
taxable,"നികുതിചുമത്താവുന്ന, നികുതിചുമത്തേണ്ട"
taxable income,നികുതിചുമത്താവുന്ന വരുമാനം
taxation,നികുതി ചുമത്തൽ
team spirit,ടീം സ്പിരിറ്റ്
team work,കൂട്ടുപ്രയത്നം
tear gas,കണ്ണുനീര്‍ വാതകം
technical,"ടെക്നിക്കൽ, സാങ്കേതിക"
technical advice,സാങ്കേതികോപദേശം
technical college,ടെക്നിക്കൽ കോളേജ്
technical data,സാങ്കേതിക വിവരം
technical post,ടെക്നിക്കൽ പോസ്റ്റ്
technical qualification,സാങ്കേതിക യോഗ്യത
technical skill,സാങ്കേതിക നിപുന്നത
technical term,സാങ്കേതിക പദം
technical training,സാങ്കേതിക പ്രശിക്ഷണം
technician,"ടെക്നീഷ്യന്‍, സാജേതികചിദഗ്ധന്‍"
technique,"ടെക്കനിക്ക്, സങ്കേതം"
technocracy,ടെക്നോക്രസി
technocrat,ടെക്നോക്രാറ്റ്
technological,സാങ്കേതിക വിദ്യ സംമ്പന്ധിച്ച
technologist,"ടെക്നോലാജിസ്റ്റ്, സാങ്കേതിക വിദ്യാവിദഗ്ധന്‍"
technology,സാങ്കേതികവിദ്യ
telebanking,ടെലിബാങ്കിങ്
telegram,"കന്വി, കന്വിസന്ദേശം"
telegraphic address,ടെലിഗ്രാഫ് മേല്‍വിലാസം
telegraphy,ടെലിഗ്രാഫി
teleprinter message,ടെലിപ്രിന്‍റര്‍ സന്ദേശം
television,ടെലിവിഷന്‍
teleworking,ടെലിവര്‍ക്കിങ്
telex,ടെലക്സ്
teller,ടെല്ലര്‍
temper,സ്വഭാവം
temperament,സ്വഭാവം
temperamental,വേഗം ദേഷ്യം വരുന്ന
temperature,"ഊഷ്മാവ്, ചൂട്, താപനില"
tempo,ടേമ്പോ
temporary,താല്‍ക്കാലികം
temporary advance,താല്‍ക്കാലിക മുന്‍ പണം
temporary appointment,താല്‍കാലിക നിയമനം
temporary disability,താല്‍കാലിക അവശത
temporary post,താല്‍ക്കാലിക തസ്തിക
temporary restriction,താല്‍ക്കാലിക
temporary vacancy,താല്‍ക്കാലിക ഒഴിവ്
temptation,പ്രലോഭനം
tenable,"നിലനിരുത്താവുന്ന, സ്ഥാവിക്കാവുന്ന, സമര്‍ഥനീയ"
tenacity,"ദൃഢത, നിഷ്ഠ"
tenancy,കുടിയായ്മ
tenant,കുടിയാന്‍
tendency,പ്രവണത
tender,"ടെന്‍ഡർ, ദര്‍ഘാസ് നല്‍കുക ദര്‍ഘാസ് സമര്‍പ്പിക്കുക"
tender box,ടെണ്ടര്‍ ബോക്സ്
tender notice,"ടെണ്ടര്‍ നോട്ടീസ്, ദര്‍ഘാസ് പരസ്യം"
tenderer,ദര്‍ഘാസ് നല്‍കുന്നവന്‍
tentative,അനന്തിയമായ
tenure,നടപ്പവകാശം
tenure of land,പാട്ട ഭൂമി
tenure of office,ഉദ്യാഗകാലാവധി
tenure of post,കാര്യകാലം
tenure of work,"കോന്‍ട്രാക്ട് കാലാവധി, കാര്യാവധി"
tenure post,കാലാവധിയുള്ള പദവി
term,"അവധി, കാലാവധി, തവണ"
term loan,കാലാവധി ഋണം
term of office,ഉദ്യേഗകാലാവധി
terminable,"അവധിവെക്കാവുന്ന, അവസാനിപ്പിക്കാവുന്ന"
terminal (report etc.),അവസാനത്തെ അറ്റം
terminal tax,ടെര്‍മിനല്‍നിക്കുതി
termination,സമാപ്തി
termination clause,സമാപ്തി ഉപവാദ്യം/വകുപ്പ്
termination notice,സമാപ്തി നോട്ടീസ്
termination of service,സര്‍വീസ്
terminology,"സാങ്കേതിക പദാവലി, സാങ്കേതിക സംജ്ഞാശാസ്ത്രം"
terms,നിബന്ധനകൾ
terms and conditions,നിബന്ധനകളും വ്യവസ്ഥകളും
terms of delivery,(സാധനം) നല്‍കുന്ന നിബന്ധന്നകൾ‌
terms of reference,പരിഗണനാ വിഷയങ്ങൾ
terms of service,സേവന നിബന്ധനകൾ
territory,"പ്രദേശം, രാജ്യക്ഷേത്രം"
terror,"ഉഗ്രഭയം, ഭീതി"
terrorism,"തീവ്രവാദം, ഭീകരവാദം"
terrorist,"തീവ്രവാദി, ഉഗ്രവാദി, ഭീകരവാദി"
tertiary benefit,തൃതീയ ആനുകൂല്യം
test,"ടെസ്റ്റ്, പരീക്ഷ, പരീക്ഷണം, പരീക്ഷിക്കുക"
test charge,"ഒസ്യത്ത്, വില്‍പ്പത്രം, മരണപത്രം, ക്രൈസ്തവനിയമം"
test check,മാതൃകാ പരീക്ഷണം
testament,"ഒസ്വത്ത്, വില്‍പ്പത്രം"
tester,പരിശോധകന്‍
testify,"സാക്ഷ്യപ്പെടുത്തുക, സാക്ഷിപറയുക"
testimonial,"യോഗ്യതാപത്രം, പ്രശംസാപത്രം"
testimony,തെളിവ്
testing report,പരീക്ഷണ റിപ്പോര്‍ട്ട്
text,"പാഠപുസ്തകം, മൂലം, മൂലപാഠം"
thankful,കൃതജ്ഞതനായ
theme,വിഷയവസ്തു
therapy,ചികിത്സാ സാമ്പ്യദായം
third party,മൂന്നാം കക്ഷി
thoroughly,പൂര്ണ്ണമായും
thoughtful,ചിന്തനശീലനായ
threat,ഭീഷണി
thrift,മിതവ്യയത
through,വഴിയായി
throw out,പിരിച്ചുവിടുക
thumb impression,വിരലടയാളം
thumping majority,ഭാരിച്ച ബഹുഭൂരിപക്ഷം
ticket,ടിക്കറ്റ്
tie,"ടൈ, കുരുക്ക് (ഗോൾ) സമമാകുക (കളയിൽ)"
tied loan,നിബന്ധനയോടെയുള്ള കടം
tier,"തരം, ടയര്‍ (ടൂ ടയര്‍ പോലെ)"
tilt,ചായ്്വ്
time,സമയ
time allowed,അനുവദിച്ച സമയം
time barred,കാലാതീതമായ
time bound,സമയബദ്ധമായ
time card,ടൈം കാര്‍ഡ്
time deposit (=fixed deposit),ടൈം ഡെപ്പോസിറ്റ്
time keeping,ടൈം കീപ്പിങ്
time limit,സമയപരിധി
time off,"സ്വല്പാവകാശം, സ്വല്പസമയം"
time overrun,സമയം കഴിഞ്ഞിരിക്കുന്ന സ്ഥിതി
time rate (time work),ടൈം റേറ്റ് (ടൈം വര്‍ക്ക്)
time recording machine,സമയലേഖം ചെയ്യുന്ന മെഷിന്‍
time scale,ടൈംസ്കെയിൽ
time schedule,"സമയവിവരപ്പട്ടിക, ടൈം ഷെഡ്യൂൾ"
time stamp,"ടൈം സ്റ്റാമ്പ്, സമയ മുദ്ര"
time study equipment,സമയ പലന ഉപകരണം
time table,"സമയവിവരപ്പട്ടിക, ടൈം ടേബിൾ"
timed programme,നിയതകാലികമായ പദ്ധതി
timing,"സമയം, സമയ നിര്‍ധാരണം"
tips,"ടിപ്സ്, സൂചനകൾ, ശീര്‍ഷകം"
title,"അവകാശം, ശീര്‍ഷകം, സ്ഥാനപ്പേര്‍(നി)"
title holder,സ്വത്തുടമസ്ഥന്‍
toilet,ശൌചാലയം
token,"ടോക്കന്‍, ചിഹ്നം, പ്രതീകം"
token member,ടോക്കന്‍ നമ്പര്‍
token pay,നാമമാത്രമായിവാങ്ങുന്ന ശമ്പളം
