ab initio,"आरंभत, प्रारंभापासून"
voucher,"प्रमाणक, वाउचर"
vow,"व्रत, प्रतिज्ञा"
vulgar,"अशिष्‍ट, ग्राम्य, क्षुद्र"
vulnerable,"दुबळा, मर्मभेद्य"
vulnerable section (of society),आरक्षित वर्ग
wage,1. मजुरी 2. वेतन
wage administration,वेतन प्रशासन
wage agreement,मजुरी करार
wage board,मजुरी बोर्ड
wage ceiling,अधिकतम मंजुरी मर्यादा
wage contract,मजुरी निविदा
wage earner,कमावता मजुर
wage formula,मजुरी सूत्र
wage payment,मजुरी वेतन
wage policy,मजुर नीती
wage rate,मजुरी दर
wage review,मजुरी सिंहावलोकन
waiting list,प्रतीक्षा सूची
waive,1. अधित्याग करणे 2. सोडून देणे
walk-in-interview,प्रवेश मुलाखन
want,1. हवे असणे 2. अभाव असणे
ward,1. क्षेत्र 2. कक्ष 3. वार्ड
warehouse,वखार
warehousing charges,वखार प्रभार
warning,"ताकीद, इशारा"
warrant,"1. अधिपत्र 2. खात्री, संमस्त"
warranty,"आश्‍वासन, दूरुस्थी ची हमी, खात्री"
washing allowance,धुलाई भत्ता
wastage,अपव्यय
waste land,पडीक जमीन
waste paper basket,रद्‍दी ची टोपली
watch,1. लक्ष ठेवणे 2. राखण करणे
watch and ward,पहारा
water proof,"जलअवरोधी, जल रोधक"
water supply,पाणीपुरवठा
way bill,मार्ग पत्रक
ways,पथ्दती
ways and means,1. अर्थोपाय 2. मार्ग व साधने
ways and means committee,अर्योपाय समिती
wear and tear,झीजतूट
weathering,अपक्षय
weed out,छाटणी करणे
weeding,"निंदणी, छाटणी"
weekly report,साप्‍ताहीक अहवाल
weigh,"1. वजन करणे, तोळणे"
weight,1. वजन 2. भार
weight bridge,धर्मकाटा
weightage,1. विशेष सवलती 2. पासंग
welcome,"स्वागत, स्वागत करणे"
welcome address,स्वागत भाषण
welfare,कल्याण
welfare state,कल्याणकारी राज्य
well behaved,सुवर्तनी
well-paid,उत्तम पगारीचा
well-qualified,"सुयोग्य, उत्तम अर्हता प्राप्‍‍‍त"
well-versed,तरबेज
whereas,ज्याअर्थी
wherebouts,ठावठिकाणा
whimsical,"लहरी, तऱ्हेवाईक"
whip,"फटके मारणे, चाबूक, कोरडा"
white paper,श्‍वेतपत्रिका
whole-time,"पूर्णकालिक, पूर्ण वेळ"
whole-time employee,"पूर्णवेळ, कर्मचारी"
wide ranging,"व्यापक, विस्तृत"
widely read,"व्यापक वाचनात असलेला, विस्तृत वाचक वर्ग"
widow,विधवा
widower,विधुर
wildcat strike,बेकायरेशीर संप
wilful,1. हेतुपुरस्पर 2. हट्टी
wind up,समापन
window envelope,पत्ता दर्शक लिफाफा
wing,1. दल 2. शाखा विभाग 3. पाख
winter allowance,हिवाळी भत्ता
wipe out,काढून टाकणे
wireless set,बिनतारी संच
withdrawal,"काढणे, काढून घेणे, परत घेणे"
withdrawal of motion,प्रस्ताव मागे घेणे
withhold,"रोखून ठेवणे, अडवणे, अडवून धरणे"
within,1. आत 2. मर्यादेत
without delay,"अविलंब, विलंब न करता"
without permission,विना अनुमंती
withstand,1. टिकून राहणे 2. सहन करणे
witness,1. साक्ष देणे 2. साक्षी असणे
work book,प्रयोग वही
work culture,कार्य संस्कृती
work environment,कामाचे वातावरण
work experience,कार्यानुभव
work force,कार्यबल
work order,"कार्यादेश, काम करणायचा"
work permit,कामाचा परवाना
work stoppage,काम थांबवणे
